Key,Translation


#[ common ],<<-|-------------------------------------------------|->>

CommonBestiaryFlavor.DemonEye,"Created by a powerful Sans, these little pranksters are always *looking* for someone to bother. "
CommonBestiaryFlavor.Skeleton,"Sanses that get lost in the Sansverns eventually go insane. Jealous, they attack those who've yet to join their ranks."
CommonBestiaryFlavor.Zombie,"These nocturnal pranksters are here to mess you up! "

CommonBestiaryFlavor.Hornet,"How odd. A ghost, and not a particularly sansular one. "

CommonBestiaryFlavor.GoldCritter,"
(COOL VARIANT: It may be hard to spot, but some critters are cooler than others!)"

#[ critters ],<<-|-----------------------------------------------|->>


#comment,"Bait power: 15% -> ok, 25% -> good, 40% -> great"

Bestiary_FlavorText.npc_Frog,"Frog? More like

pog"
Bestiary_FlavorText.npc_GoldFrog,"{$Bestiary_FlavorText.npc_Frog}{$CommonBestiaryFlavor.GoldCritter}"
Bestiary_FlavorText.npc_Grubby,"A little chunk of Wallpaper Mold that seeks to spread Toriel's House. Makes for ok parasite bait."
Bestiary_FlavorText.npc_Sluggy,"A little chunk of Wallpaper Mold that seeks to spread Toriel's House. Makes for good parasite bait."
Bestiary_FlavorText.npc_Buggy,"A little chunk of Wallpaper Mold that seeks to spread Toriel's House. Makes for great parasite bait."

Bestiary_FlavorText.npc_Stinkbug,"ERROR: NPC NOT FOUND"

#[ corruption ],<<-|---------------------------------------------|->>

Bestiary_FlavorText.npc_Clinger,"In an incredible - and terrifying - feat of ingenuity, these plant-like creatures are actually heavily modified Loogies. Some of their many new organs can produce the THUNDERRR they spit."
Bestiary_FlavorText.npc_Corruptor,"Loominal Crawlers that have spent ages honing their reality-warping abilites, they have developed incrediple power."
Bestiary_FlavorText.npc_CorruptSlime,"Slanses affected by the luigification process take on far firmer shapes. However, they do maintain their jumpy nature."
Bestiary_FlavorText.npc_DevourerHead,"Worms affected by the Loogies' S'ahns Ritual, they become a familiar centipide-like creature, minus the impressive legs. Or flower. How they're not angry remains a mystery."
Bestiary_FlavorText.npc_EaterofSouls,"Hailing from the Dream Realm, Loogies have a tighter grasp on the fabric of reality than most. These ones have managed to ""crawl"" along it, using their tendril-like 'stache hairs."
Bestiary_FlavorText.npc_SeekerHead,"The wigglers' enraged counterparts, they hit twice as hard! (Probably more than that, I didn't check)"
Bestiary_FlavorText.npc_Slimeling,"HA HA HA! IT WAS A BIG GOOMBER ALL ALONG LUIGI!!!"
Bestiary_FlavorText.npc_Slimer,"Fitted with wing (singular) by the Loogies. It now seeks any ally of the Sanses to stomp down in a fit of revenge."


#[ dungeon ],<<-|------------------------------------------------|->>

Bestiary_FlavorText.npc_DungeonGuardian,"Don't mess with paps."


#[ hallow ],<<-|-------------------------------------------------|->>

Bestiary_FlavorText.npc_Pixie,"As sick as this fella is, you probably shouldn't get too close, or else you'll also get sick!"


#[ night ],<<-|--------------------------------------------------|->>

Bestiary_FlavorText.npc_BaldZombie,"{$CommonBestiaryFlavor.Zombie}This one hasn't acutally lost his head. Some meanie just slammed it into his jacket!"
Bestiary_FlavorText.npc_FemaleZombie,"How's the weather up there?"
