Key,Translation


#[ tags : purity ],<<-|------------------------------------------|->>

Bestiary_Biomes.Graveyard,Raveyard
# Bestiary_Biomes.Meteor,|> >>--->   UNSET   <---<< <|
Bestiary_Biomes.Ocean,Edge of [ B I G   S A N S ]
Bestiary_Biomes.Sky,Skans (Sky Sans)
Bestiary_Biomes.Surface,Sansface (sans surface)
Bestiary_Biomes.TheDungeon,Gamestop


#[ tags : underground ],<<-|-------------------------------------|->>

Bestiary_Biomes.Caverns,Sansverns (sans caverns)
Bestiary_Biomes.Granite,Grans (granite sans)
Bestiary_Biomes.Marble,Mars (marble sans)
Bestiary_Biomes.SpiderNest,Sansder (sans spider) Nest
Bestiary_Biomes.TheUnderworld,The Undersans
Bestiary_Biomes.Underground,Sansderground (sans underground)


#[ tags : mushroom ],<<-|----------------------------------------|->>

# Bestiary_Biomes.SurfaceMushroom,    |> >>--->   UNSET   <---<< <|
# Bestiary_Biomes.UndergroundMushroom,|> >>--->   UNSET   <---<< <|


#[ tags : desert ],<<-|------------------------------------------|->>

Bestiary_Biomes.Desert,The Wastes
Bestiary_Biomes.Oasis,Osansis (sans oasis)
Bestiary_Biomes.UndergroundDesert,The Organism


#[ tags : snow ],<<-|--------------------------------------------|->>

Bestiary_Biomes.Snow,The Snans
Bestiary_Biomes.UndergroundSnow,The Consanstrate


#[ tags : jungle ],<<-|------------------------------------------|->>

Bestiary_Biomes.Jungle,Toriel's House (sansface)
Bestiary_Biomes.UndergroundJungle,Toriel's House
# Bestiary_Biomes.TheTemple,|> >>--->   UNSET   <---<< <|


#[ tags : corruption ],<<-|--------------------------------------|->>

Bestiary_Biomes.CorruptDesert,Thunderous Wastes
Bestiary_Biomes.CorruptIce,Constantigi (luigi consnanstrate)
Bestiary_Biomes.CorruptUndergroundDesert,Thunderous Organism
Bestiary_Biomes.TheCorruption,Luigi Fanfic
Bestiary_Biomes.UndergroundCorruption,Looderground (loogie underground)


#[ tags : crimson ],<<-|-----------------------------------------|->>

Bestiary_Biomes.Crimson,No San's Land
Bestiary_Biomes.CrimsonDesert,No San's Wastes
Bestiary_Biomes.CrimsonIce,No San's Consanstrate
Bestiary_Biomes.CrimsonUndergroundDesert,Deep San's Wastes
Bestiary_Biomes.UndergroundCrimson,Deep San's Land


#[ tags : hallow ],<<-|------------------------------------------|->>

Bestiary_Biomes.HallowDesert,Shadow Wastes
Bestiary_Biomes.HallowIce,Concentraster
Bestiary_Biomes.HallowUndergroundDesert,Phyto-shadow
Bestiary_Biomes.TheHallow,The Dark World
Bestiary_Biomes.UndergroundHallow,The Darker World


#[ tags : pillars ],<<-|-----------------------------------------|->>

# Bestiary_Biomes.NebulaPillar,  |> >>--->   UNSET   <---<< <|
# Bestiary_Biomes.SolarPillar,   |> >>--->   UNSET   <---<< <|
# Bestiary_Biomes.StardustPillar,|> >>--->   UNSET   <---<< <|
# Bestiary_Biomes.VortexPillar,  |> >>--->   UNSET   <---<< <|


#[ tags : times ],<<-|-------------------------------------------|->>

Bestiary_Times.DayTime,:flushed:time
Bestiary_Times.NightTime,Mans(moon sans)time


