Key,Translation


#comment,"This file should contain most things relevant to bosses."
#comment,"The order for entries is:
NPCs -> Bestiary -> Summons -> Boss Bag/Trophy/Relic -> Drops -> Drop Recipes"


#[ king slime ],<<-|---------------------------------------------|->>


NPCName.KingSlime,King Slans

Bestiary_FlavorText.npc_KingSlime,"A massive and powerful slans, he harnesses the power of the Ninja!Sans he ate to perform ninja multiplication moves."

ItemName.KingSlimeTrophy,King Slans Trophans


#[ eye of cthulhu ],<<-|-----------------------------------------|->>


NPCName.EyeofCthulhu,Eye of Sans
NPCName.ServantofCthulhu,Young Sanson Eye

Bestiary_FlavorText.npc_EyeofCthulhu,"A piece of a Titan Sans ripped from its body at least 2 ago. Now it seeks unsuspecting n00bs to epically troll!"
Bestiary_FlavorText.npc_ServantofCthulhu,"A young Sanson Eye that hasn't even left its shell yet."

ItemName.SuspiciousLookingEye,Segg (sans egg)
ItemTooltip.SuspiciousLookingEye,"Sansmmons the Eye of Sans
'It's almost out of it's shell'"

ItemName.EyeOfCthulhuBossBag,Bag of Regret (Eye of Sans)
ItemTooltip.EyeOfCthulhuBossBag,"{$CommonItemTooltip.RightClickToOpen}
'[c/ff0000:On days like these...]'"

ItemName.EyeofCthulhuTrophy,Eye of Sans Trophy
ItemName.EyeofCthulhuMasterTrophy,Eye of Sans Sanslic


#[ eater of worlds ],<<-|----------------------------------------|->>


NPCName.EaterofWorldsBody,Biggler of Wigglers
NPCName.EaterofWorldsHead,Biggler of Wigglers
NPCName.EaterofWorldsTail,Biggler of Wigglers
NPCName.VileSpitEaterOfWorlds,THUNDERRR

Bestiary_FlavorText.npc_EaterofWorldsHead,"A massive, enraged wiggler, hellbent on finding its lost flower. It will stop at nothing to achieve its goal."

ItemName.EaterOfWorldsBossBag,Bag of Regret (Biggler of Wigglers)
ItemTooltip.EaterOfWorldsBossBag,"{$CommonItemTooltip.RightClickToOpen}
'booty blasted'"

ItemName.EaterofWorldsTrophy,Biggler of Wigglers Trophy
ItemName.EaterofWorldsMasterTrophy,Biggler of Wigglers Sanslic


#[ brain of cthulhu ],<<-|---------------------------------------|->>


NPCName.BrainofCthulhu,Sevenbones
NPCName.Creeper,Shrooper

Bestiary_FlavorText.npc_BrainofCthulhu,"Formally called “:bone::bone::bone::bone::bone::bone::bone:”, this amalgam was fromed from Sixbones merging with a Loogie during a bloody fight. A great amount of hatred emanates from it."
Bestiary_FlavorText.npc_Creeper,"The fused manifestation of a mushroom and a sanson eye. Psychically controlled by Sevenbones as their main method of defense, as the fused Loogie hinders the Sans and Papyrus's magic."

ItemName.BrainOfCthulhuBossBag,Bag of Regret (Sevenbones)
ItemTooltip.BrainOfCthulhuBossBag,"{$CommonItemTooltip.RightClickToOpen}
'⨋↖↖◉∰◍'"

ItemName.BrainofCthulhuTrophy,Sevenbones Trophy
ItemName.BrainofCthulhuMasterTrophy,Sevenbones Sanslic


#[ queen bee ],<<-|----------------------------------------------|->>


NPCName.QueenBee,MOTHERSPAWNER

