Key,Translation


#[ actual credits ],<<-|-----------------------------------------|->>


CreditsRollCategory_Creator.1,The One to Blame for This Resource Pack
CreditsRollCategory_Creator.2,ThEnderYoshi

CreditsRollCategory_Programming.1,Music (actual credits)
CreditsRollCategory_Programming.2,Undertale/Deltarune OST - Toby Fox
CreditsRollCategory_Programming.3,Bombs for Throwing at You - Mike Morasky
CreditsRollCategory_Programming.4,Fort Fire Bros. - Mario 3D World Big Band
CreditsRollCategory_Programming.5,<placeholder>
CreditsRollCategory_Programming.6,<placeholder>
CreditsRollCategory_Programming.7,<placeholder>

CreditsRollCategory_SpecialThanksto.1,Special Apologies to
CreditsRollCategory_SpecialThanksto.2,Toby Fox
CreditsRollCategory_SpecialThanksto.3,Temmie Chang
CreditsRollCategory_SpecialThanksto.4,Andrew “Redigit” Spinks
CreditsRollCategory_SpecialThanksto.5,Whitney “Cenx” Spinks
CreditsRollCategory_SpecialThanksto.6,Everyone else at Re-Logic
CreditsRollCategory_SpecialThanksto.7,The Steam Workshop Admins
CreditsRollCategory_SpecialThanksto.8,Anyone who likes Sans (myself included)
CreditsRollCategory_SpecialThanksto.9,Sans “The” Skeleton
CreditsRollCategory_SpecialThanksto.10,Anyone that went to (the real) Sans Fanfic
CreditsRollCategory_SpecialThanksto.11,The very concept of Art
CreditsRollCategory_SpecialThanksto.12,"You, for playing through this"


#[ apologies ],<<-|----------------------------------------------|->>


CreditsRollCategory_BusinessDevelopment.1,Sansiness Sansvelopment
CreditsRollCategory_BusinessDevelopment.2,Sans Undertale
CreditsRollCategory_BusinessDevelopment.3,Sans Undertale

CreditsRollCategory_Designer.1,Sansiner
CreditsRollCategory_Designer.2,Sans Undertale
CreditsRollCategory_Designer.3,Sans Undertale
CreditsRollCategory_Designer.4,Sans Undertale

CreditsRollCategory_Dialog.1,Dialog (I'm so sorry)
CreditsRollCategory_Dialog.2,ThEnderYoshi
CreditsRollCategory_Dialog.3,I'll just take the blame for it
CreditsRollCategory_Dialog.4,"Again, I am so sorry for not making this sooner"

CreditsRollCategory_ExecutiveProducer.1,Executive Sansducer
CreditsRollCategory_ExecutiveProducer.2,Sans Undertale

CreditsRollCategory_EndingNotes.1,Fuck You Windows 10

CreditsRollCategory_Graphics.1,Grassphickz
CreditsRollCategory_Graphics.2,Sans Undertale
CreditsRollCategory_Graphics.3,Sans Undertale
CreditsRollCategory_Graphics.4,Sans Undertale
CreditsRollCategory_Graphics.5,Sans Undertale
CreditsRollCategory_Graphics.6,Sans Undertale
CreditsRollCategory_Graphics.7,Sans Undertale
CreditsRollCategory_Graphics.8,Sans Undertale
CreditsRollCategory_Graphics.9,Sans Undertale
CreditsRollCategory_Graphics.10,Sans Undertale

CreditsRollCategory_Marketing.1,The Lord thy GOD
CreditsRollCategory_Marketing.2,[ B I G   S A N S ]

CreditsRollCategory_Music.1,Cast
CreditsRollCategory_Music.2,Sans “The” Skeleton as Himself

CreditsRollCategory_Playtesting.1,Sanstesting
CreditsRollCategory_Playtesting.2,Sans Undertale
CreditsRollCategory_Playtesting.3,Sans Undertale
CreditsRollCategory_Playtesting.4,Sans Undertale
