Key,Translation


#[ common : biomes ],<<-|----------------------------------------|->>


TownNPCMoodBiomes.Corruption,Luigi Fanfic
TownNPCMoodBiomes.Crimson,the No San's Land
TownNPCMoodBiomes.Desert,The Wastes
TownNPCMoodBiomes.Dungeon,Gamestop
TownNPCMoodBiomes.Forest,the Sanface
TownNPCMoodBiomes.Hallow,the Dark World
TownNPCMoodBiomes.Jungle,Toriel's House
# TownNPCMoodBiomes.Mushroom,|> >>--->   UNSET   <---<< <|
TownNPCMoodBiomes.NormalUnderground,the Sansderground
TownNPCMoodBiomes.Ocean,the Edge of [ B I G   S A N S ]
TownNPCMoodBiomes.Snow,the Snans


#[ angler : fishing ],<<-|---------------------------------------|->>


AnglerQuestText.TurnIn_1,"Blub blub
(thank thank)"
AnglerQuestText.TurnIn_2,"Blub blub
(awesomesauce ^_^)"
AnglerQuestText.TurnIn_3,"Blub blub
(nicenice)"
AnglerQuestText.TurnIn_4,"Blub blub
(GG fr fr)"
AnglerQuestText.TurnIn_5,"Blub blub
(oo gimme gimme)"


#[ angler : special ],<<-|---------------------------------------|->>


AnglerSpecialText.BloodMoonFishing1,"Blub blub
(Scary stuff. In Blood Moon water. Fish it up LMAO)"
AnglerSpecialText.BloodMoonFishing2,"Blub blub
(This night. Go fish in water. It funny!)"
AnglerSpecialText.Graveyard1,"Blub blub
(This place. Really scary! Not nice >:[ )"
AnglerSpecialText.Graveyard2,"Blub blub
(Can't go to water. Too scary)"
AnglerSpecialText.Party,"*On closer inspection, he is not breathing*"
AnglerSpecialText.Rain1,"Blub blub
(I like rain. Makes me moist. I like that)"
AnglerSpecialText.Rain2,"Blub blub
(I don't like being dry. Rain stops that :D)"
AnglerSpecialText.Storm1,"Blub blub
(Storm is scary. But makes me VERY moist!!!)"
AnglerSpecialText.Storm2,"Blub blub
(Once. Lightning struck my lake. Almost died OMEGALUL)"
AnglerSpecialText.Windy1,"Blub blub
(Wind makes me dry. No likey..)"
AnglerSpecialText.Windy2,"Meow."


#[ dryad : world description ],<<-|------------------------------|->>


DryadSpecialText.WorldStatusAll,"F: {1}% of {0} is DELTARUNE, {2}% has been taken over by Luigi Fanfic, and {3}% is at war."
DryadSpecialText.WorldStatusCorrupt,"F: {1}% of {0} has been taken over by Luigi Fanfic."
DryadSpecialText.WorldStatusCorruptCrimson,"F: {1}% of {0} has been taken over by Luigi Fanfic and {2}% is at war."
DryadSpecialText.WorldStatusCrimson,"F: {1}% of {0} is at war."
DryadSpecialText.WorldStatusHallow,"F: {1}% of {0} is DELTARUNE."
DryadSpecialText.WorldStatusHallowCorrupt,"F: {1}% of {0} is DELTARUNE and {2}% has been taken over by Luigi Fanfic."
DryadSpecialText.WorldStatusHallowCrimson,"F: {1}% of {0} is DELTARUNE and {2}% is at war."
DryadSpecialText.WorldStatusPure,"F: {0} is aaall Sans Fanfic! (not much of an improvement...)"

DryadSpecialText.WorldDescriptionBalanced,"
S: The [ B I G   S A N S ] is in sanslace."

DryadSpecialText.WorldDescriptionClose,"
S: We're so super close!"

DryadSpecialText.WorldDescriptionFairyTale,"
S: Things starting to get very, very interesting around here."

