Key,Translation


#[ melee ],<<-|--------------------------------------------------|->>


ItemName.FeralClaws,Motherly Claws
ItemTooltip.FeralClaws,"[c/ff0000:+12% MLE AT]
[c/00ff00:+MLE Auto swans (swing sans)]"


#[ summoner ],<<-|-----------------------------------------------|->>


ItemName.HerculesBeetle,Drip Snail
ItemTooltip.HerculesBeetle,"[c/ff0000:+15% SMN AT]
[c/ff0000:SMN KB ↗]"


#[ wings ],<<-|--------------------------------------------------|->>


ItemName.LeafWings,Artificial Loominal 'Stache
ItemTooltip.LeafWings,"{$CommonItemTooltip.FlightAndSlowfall}
'Articial enhancements cause this
'stache to be severely powered up'"

ItemName.BeeWings,Flighty Leaf
ItemTooltip.BeeWings,"{$CommonItemTooltip.FlightAndSlowfall}
'I'd say he's hot on our tail!'"

ItemName.ButterflyWings,Flighty Feather
ItemTooltip.ButterflyWings,"{$CommonItemTooltip.FlightAndSlowfall}
'Legends speak of the feather - the most powerful powerup'"

#comment,Not completely removing this because the idea is neat.
# ItemName.LeafWings,Ruined Cape
# ItemTooltip.LeafWings,"{$CommonItemTooltip.FlightAndSlowfall}
# 'It has a faded Delta Rune on it'"


#[ tree : stat display ],<<-|------------------------------------|->>


ItemName.CopperWatch,Gastter Cheap Happy Meal Watch
ItemTooltip.CopperWatch,"Thells the thyme"

ItemName.TinWatch,Gastin Cheap Happy Meal Watch
ItemTooltip.TinWatch,"{$ItemTooltip.CopperWatch}"

ItemName.SilverWatch,Sansver Expensive Happy Meal Watch
ItemTooltip.SilverWatch,"{$ItemTooltip.CopperWatch}"

ItemName.TungstenWatch,Tungsans Expensive Happy Meal Watch
ItemTooltip.TungstenWatch,"{$ItemTooltip.CopperWatch}"

ItemName.GoldWatch,Papyld Luxury Happy Meal Rolex
ItemTooltip.GoldWatch,"{$ItemTooltip.CopperWatch}"

ItemName.PlatinumWatch,Papynum Luxury Happy Meal Rolex
ItemTooltip.PlatinumWatch,"{$ItemTooltip.CopperWatch}"


ItemName.Compass,Sanspass
ItemTooltip.Compass,"Sansplays sansrizontal posanstion"
ItemName.DepthMeter,Depth Sanster
ItemTooltip.DepthMeter,"Sansplays depth"

ItemName.GPS,GPSans

ItemTooltip.CellPhone,"Lets you see eeeeeeverything
{$ItemTooltip.MagicMirror}"

ItemName.GoblinTech,Lnik Tech
ItemTooltip.GoblinTech,"Sansplays sansement spans, AT, and sansluable ore"


#[ tree : terraspark ],<<-|--------------------------------------|->>


ItemName.AnkletoftheWind,Butterscotch Sansnammon Pie
ItemTooltip.AnkletoftheWind,"[c/ff0000:+10% SPD]
'increases speed by causing you to waft
through the air like a cartoon character'"

ItemName.ObsidianRose,Jack Of Spades
ItemTooltip.ObsidianRose,"[c/00ff00:DMG from Dark'ness ↘]
'I'm... the bad guy!'"


#[ tree : ankh shield ],<<-|-------------------------------------|->>


ItemName.Bezoar,Exorcism Cross
ItemTooltip.Bezoar,"Prevents you from getting Spook'd"

ItemName.AdhesiveBandage,Snake Oil
ItemTooltip.AdhesiveBandage,"Stops Rapid Growth (I swear)"

ItemName.MedicatedBandage,Ghost Oil
ItemTooltip.MedicatedBandage,"Prevents Spook'd and Rapid Growth"


#[ vanity ],<<-|-------------------------------------------------|->>


ItemName.JungleRose,Glass Eye
ItemTooltip.JungleRose,"'Wait, where do your actual eyes go?'"


#[ misc. ],<<-|--------------------------------------------------|->>


ItemName.BandofRegeneration,HP Ring
ItemTooltip.BandofRegeneration,"[c/00ff7f:HP Regen ↗]"

ItemTooltip.DestroyerEmblem,"[c/ff0000:+10% AT]"

ItemName.FlowerBoots,Sans Slipper
ItemTooltip.FlowerBoots,"Thymes grow on the sans you walk on
'As in made out of sans. Not to be confused with Sans' Slipper'"
