Key,Translation


#[ slimes ],<<-|-------------------------------------------------|->>


ItemName.SlimeBanner,Slans Sansnner
ItemName.GreenSlimeBanner,Normal Slans Sansnner
ItemName.PinkyBanner,Slansy UwU Sansnner

ItemName.RedSlimeBanner,Default Slans Sansnner
ItemName.YellowSlimeBanner,Average Slans Sansnner
ItemName.BlackSlimeBanner,Regular Slans Sansnner
ItemName.MotherSlimeBanner,Ninja Slans Sansnner

ItemName.CorruptSlimeBanner,Sloomba Sansnner
ItemName.SlimerBanner,One-Wingled Sloomba Sansnner

ItemName.LavaSlimeBanner,Fell!Slans Sansnner

ItemName.JungleSlimeBanner,Moldy Slans Sansnner

ItemName.IceSlimeBanner,Snansy Slans Sansnner
ItemName.SpikedIceSlimeBanner,Hyperslans Sansnner

ItemTooltip.SlimeBanner,"{$CommonItemTooltip.BannerBonus}Slanses"
ItemTooltip.GreenSlimeBanner,"{$CommonItemTooltip.BannerBonus}Normal Slanses"
ItemTooltip.PinkyBanner,"{$CommonItemTooltip.BannerBonus}Slansies (UwU)"

ItemTooltip.RedSlimeBanner,"{$CommonItemTooltip.BannerBonus}Default Slanses"
ItemTooltip.YellowSlimeBanner,"{$CommonItemTooltip.BannerBonus}Average Slanses"
ItemTooltip.BlackSlimeBanner,"{$CommonItemTooltip.BannerBonus}Regular Slanses"
ItemTooltip.MotherSlimeBanner,"{$CommonItemTooltip.BannerBonus}Ninja Slanses"

ItemTooltip.CorruptSlimeBanner,"{$CommonItemTooltip.BannerBonus}Sloombas"
ItemTooltip.SlimerBanner,"{$CommonItemTooltip.BannerBonus}One-Winged Sloombas"

ItemTooltip.LavaSlimeBanner,"{$CommonItemTooltip.BannerBonus}Fell!Slanses"

ItemTooltip.JungleSlimeBanner,"{$CommonItemTooltip.BannerBonus}Moldy Slanses"

ItemTooltip.IceSlimeBanner,"{$CommonItemTooltip.BannerBonus}Snansy Slanses"
ItemTooltip.SpikedIceSlimeBanner,"{$CommonItemTooltip.BannerBonus}Hyperslanses"


#[ night ],<<-|--------------------------------------------------|->>


ItemName.DemonEyeBanner,Sanson Eye Sansnner
ItemName.WanderingEyeBanner,Mature Sanson Eye Sansnner
ItemName.ZombieBanner,Aggressive Sans Sansnner

ItemTooltip.DemonEyeBanner,"{$CommonItemTooltip.BannerBonus}Sanson Eyes"
ItemTooltip.WanderingEyeBanner,"{$CommonItemTooltip.BannerBonus}Mature Sanson Eyes"
ItemTooltip.ZombieBanner,"{$CommonItemTooltip.BannerBonus}Aggressive Sanses"


#[ space ],<<-|--------------------------------------------------|->>


ItemName.HarpyBanner,Blaster Rider Sansnner

ItemTooltip.HarpyBanner,"{$CommonItemTooltip.BannerBonus}Blaster Riders"


#[ underground ],<<-|--------------------------------------------|->>


ItemName.BatBanner,Sanccoo Sansnner
ItemName.GiantBatBanner,Twooccoo Sansnner
ItemName.PiranhaBanner,Jape Worm Sansnner
ItemName.ToxicSludgeBanner,Sansbert Sansnner
ItemName.WormBanner,Live Thyme Sansnner
ItemName.SkeletonBanner,Lost Sans Sansnner
ItemName.NypmhBanner,Mimikc Sansnner

