Key,Translation


#[ torches ],<<-|------------------------------------------------|->>


ItemName.Torch,Sanch (sans torch)
ItemName.JungleTorch,Toriel's Houch (house torch)


#[ campfires ],<<-|----------------------------------------------|->>


ItemName.Campfire,Campsans
ItemName.JungleCampfire,Toriel's Camphouse

ItemTooltip.Campfire,"When near a campsans: [c/00ff7f:HP regen ↗]"
ItemTooltip.JungleCampfire,"{ItemTooltip.Campfire}"


#[ traps ],<<-|--------------------------------------------------|->>


ItemName.BeeHive,Remote Spawner
MapObject.BeeHive,"{$ItemName.BeeHive}"


#[ statues : enemies ],<<-|--------------------------------------|->>


ItemName.GoblinStatue,Lnik Sanstue
ItemName.HarpyStatue,Blaster Rider Sanstue
ItemName.HornetStatue,Gohst Stanstue


#[ statues : critters ],<<-|-------------------------------------|->>


ItemName.FrogStatue,Pog Stanstue
ItemName.BuggyStatue,Moldbug Stanstue


#[ statues : decorative ],<<-|-----------------------------------|->>


ItemName.AngelStatue,Sansgel Stanstue


#[  ],<<-|-------------------------------------------------------|->>
