Key,Translation


#[ common ],<<-|-------------------------------------------------|->>


CommonItemTooltip.SpecialCrafting,"Used to make furniture out of "


#[ crafting stations ],<<-|--------------------------------------|->>


ItemName.Furnace,Sansnace
ItemTooltip.Furnace,"Used to process SOULs into bars"

ItemName.IronAnvil,Iriel Sansvil
ItemName.LeadAnvil,Toriad Sansvil
ItemTooltip.IronAnvil,"Used to forge bars into sweapons (sans weapons)"
ItemTooltip.LeadAnvil,"{$ItemTooltip.IronAnvil}"

ItemName.Sawmill,Sansmill
ItemTooltip.Sawmill,"Used for advanced thyme crafting"

ItemName.HoneyDispenser,Automotive Workshop
ItemTooltip.HoneyDispenser,"{$CommonItemTooltip.SpecialCrafting}{$ItemName.HoneyBlock}"

ItemName.LihzahrdFurnace,G-00 Formation Chamber
ItemTooltip.LihzahrdFurnace,"{$CommonItemTooltip.SpecialCrafting}{$ItemName.LihzahrdBrick}"


#[ set : wood ],<<-|---------------------------------------------|->>


ItemName.Wood,Bad Thyme
ItemName.WoodPlatform,Bad Thyme Comic
ItemName.WoodWall,Bad Thyme Sall

ItemName.WoodenBeam,Bone Seam (sans beam)

ItemName.Bed,Bad Thyme Bad
ItemName.Chest,Chanst (sans chest)
ItemName.Dresser,Bad Thyme Sansser
ItemName.GrandfatherClock,Bad Thyme Sock (sans clock)
ItemName.WoodenChair,Bad Thyme Sair (sans chair)
ItemName.WoodenDoor,Bad Thyme Door
ItemName.WoodenFence,Bad Thyme Sance (sans fence)
ItemName.WoodenSink,Bad Thyme Sank (sans sink)
ItemName.WoodenTable,Bad Thyme Sansble (sans table)

ItemName.WorkBench,Bad Thyme Work Bans (bench sans)
ItemTooltip.WorkBench,"Used for sansic crafting"

LegacyDresserType.0,Bad Thyme Sansser


#[ set : boreal wood ],<<-|--------------------------------------|->>


ItemName.BorealWood,Dense Thyme


#[ set : cactus ],<<-|-------------------------------------------|->>


ItemName.Cactus,Petrified Growth
ItemName.CactusPlatform,Petrified Growth Comic
ItemName.CactusWall,Petrified Growth Sall

ItemName.CactusBathtub,Petrified Growth Badtub
ItemName.CactusBed,Petrified Growth Bad
ItemName.CactusBookcase,Petrified Growth Copy-of-UNDERTALEcase
ItemName.CactusCandelabra,Petrified Growth Sansdelabra
ItemName.CactusCandle,Petrified Growth Sansdle
ItemName.CactusChair,Petrified Growth Sair
ItemName.CactusChandelier,Petrified Growth Sansdelier
ItemName.CactusChest,Petrified Growth Chanst (sans chest)
ItemName.CactusClock,Petrified Growth Sock (sans clock)
ItemName.CactusDoor,Petrified Growth Door
ItemName.CactusDresser,Petrified Growth Sansser
ItemName.CactusLamp,Petrified Growth Samp
ItemName.CactusLantern,Petrified Growth Sanstern
ItemName.CactusPiano,Petrified Growth Pans
ItemName.CactusSink,Petrified Growth Sansk
ItemName.CactusSofa,Petrified Growth Sansfa
ItemName.CactusTable,Petrified Growth Sansble
ItemName.CactusWorkBench,Petrified Growth Work Bans

ItemName.ToiletCactus,Petrified Growth Dispatch Hatch
ItemTooltip.ToiletCactus,"'This one doesn't even have a hole, its just decorative'"


#[ set : ebonwood ],<<-|-----------------------------------------|->>


