Key,Translation


#[ good ],<<-|---------------------------------------------------|->>


Prefix.Adept,Unfit
Prefix.Agile,Sloppy
Prefix.Angry,My
Prefix.Arcane,A Trading Card
Prefix.Armored,Armorless
Prefix.Brisk,Non-Existent
Prefix.Bulky,Unwieldy
Prefix.Celestial,Unusable
Prefix.Dangerous,Safety
Prefix.Deadly,Dead
Prefix.Deadly2,Dead...2!
Prefix.Demonic,[HEAVEN]
Prefix.Deranged,Ok
Prefix.Fleeting,Bad
Prefix.Forceful,Meh
Prefix.Frenzying,Wet
Prefix.Furious,Mild
Prefix.Godly,Sansly
Prefix.Guarding,Guardless
Prefix.Hard,Flaccid
Prefix.Hasty,Sans-Speed
Prefix.Hasty2,Sans-Speed...2!
Prefix.Heavy,Worse
Prefix.Hurtful,Theoretical
Prefix.Intense,Metaphorical
Prefix.Intimidating,Allegory for
Prefix.Intrepid,Tepid
Prefix.Jagged,Useless
Prefix.Keen,Disgusting
Prefix.Large,5'11""
Prefix.Legendary,Unremarkable
Prefix.Legendary2,Unremarkable...2!
Prefix.Light,Your Grandma's
Prefix.Lucky,Yucky
Prefix.Manic,Sad
Prefix.Massive,5'4""
Prefix.Masterful,N00by
Prefix.Menacing,Pathetic
Prefix.Murderous,Fake
Prefix.Mystic,Plastic
Prefix.Mythical,Hoax
Prefix.Nasty,Gross
Prefix.Nimble,Snail
Prefix.Pointy,Pointless
Prefix.Powerful,Meek
Prefix.Precise,Shaky
Prefix.Quick,A
Prefix.Quick2,A...2!
Prefix.Rapid,An
Prefix.Rash,Sickly
Prefix.Ruthless,Ruthful
Prefix.Savage,Adam
Prefix.Sharp,Dim
Prefix.Sighted,Blindfolded
Prefix.Spiked,Friendly
Prefix.Staunch,Thin
Prefix.Strong,Malnourished
Prefix.Superior,Inferior
Prefix.Taboo,Socially Acceptable
Prefix.Unpleasant,Fun-At-Parties
Prefix.Unreal,Blocked
Prefix.Violent,Banned
Prefix.Warding,Wallowing
Prefix.Wild,Mediocre
Prefix.Zealous,Bootleg


#[ bad ],<<-|----------------------------------------------------|->>


Prefix.Annoying,Dog
Prefix.Awful,Awesome
Prefix.Awkward,Your
Prefix.Broken,Better
Prefix.Damaged,Fixed
Prefix.Dull,Improved
Prefix.Ignorant,Genius
Prefix.Inept,Useful
Prefix.Lazy,Sans-Powered
Prefix.Lethargic,Bloodlusting
Prefix.Shameful,Yummy
Prefix.Shoddy,Incredible
Prefix.Slow,Lightning-Fast
Prefix.Small,6'0""
Prefix.Terrible,THE
Prefix.Tiny,6'8""
Prefix.Unhappy,Smiling
Prefix.Weak,Strongest


#[  ],<<-|-------------------------------------------------------|->>
