Key,Translation


#[ bombs ],<<-|--------------------------------------------------|->>


ItemName.Bomb,Spamton NutriNose™
ItemTooltip.Bomb,"Provides delicious improvements to stats
(do not blow into the nose)
'Spamton NutriNose™: Try it inside your house!'"


#[ diggers : axes ],<<-|-----------------------------------------|->>


ItemName.CopperAxe,Gastter Axsans
ItemName.TinAxe,Gastin Axsans
ItemName.IronAxe,Iriel Axsans
ItemName.LeadAxe,Toriad Axsans
ItemName.SilverAxe,Sansver Axsans
ItemName.TungstenAxe,Tungsans Axsans
ItemName.GoldAxe,Papyld Papaxe
ItemName.PlatinumAxe,Papynum Papaxe

ItemName.WarAxeoftheNight,Luigium Moustaxe
ItemName.BloodLustCluster,Gaster Chomper

ItemName.ChlorophyteGreataxe,Torium Axsans
ItemName.ChlorophyteChainsaw,Torium Chainsans

ItemName.TheAxe,The Worm

ItemName.AcornAxe,Bonular Restoration Axsans
ItemTooltip.AcornAxe,"{$ItemTooltip.StaffofRegrowth}
Plants saplings when cutting down bad thymes"


#[ diggers : hammers ],<<-|--------------------------------------|->>


ItemName.WoodenHammer,Bad Thyme Sansmmer
ItemName.BorealWoodHammer,Dense Thyme Sansmmer
ItemName.EbonwoodHammer,Better Cauli Sansmmer

ItemName.TinHammer,Gastin Sansmmer
ItemName.IronHammer,Iriel Sansmmer
ItemName.LeadHammer,Toriad Sansmmer
ItemName.SilverHammer,Sansver Sansmmer
ItemName.TungstenHammer,Tungsans Sansmmer
ItemName.GoldHammer,Papyld Hammyrus
ItemName.PlatinumHammer,Papynum Hammyrus

ItemName.TheBreaker,Fist Hammer
ItemName.FleshGrinder,Femur Crusher

ItemName.ChlorophyteWarhammer,Torium Sansmmer
ItemName.ChlorophyteJackhammer,Horned Pwner


#[ diggers : mixed ],<<-|----------------------------------------|->>


ItemName.Picksaw,Fluoroantimonic Acid
ItemTooltip.Picksaw,"Capable of dissolving pretty much anything
'Originally used to dispose of G-00 samples.
For the love of GOD don't let this touch your hands. Or water. Or heat. Or most things, really'"

ItemName.MeteorHamaxe,Planetarium Sansmmaxe
ItemName.MoltenHamaxe,BraveHamax


#[ diggers : pickaxes ],<<-|-------------------------------------|->>


ItemName.CactusPickaxe,Petri-Pick

ItemName.CopperPickaxe,Gastter Sansxe
ItemName.TinPickaxe,Gastin Sansxe
ItemName.IronPickaxe,Iriel Sansxe
ItemName.LeadPickaxe,Toriad Sansxe
ItemName.SilverPickaxe,Sansver Sansxe
ItemName.TungstenPickaxe,Tungsans Sansxe
ItemName.GoldPickaxe,Papyld Papick
ItemName.PlatinumPickaxe,Papynum Papick

ItemName.NightmarePickaxe,Mining Hat
ItemName.DeathbringerPickaxe,Patience Breaker
ItemTooltip.NightmarePickaxe,"Able to mine Shadow Crystals"
ItemTooltip.DeathbringerPickaxe,"{$ItemTooltip.NightmarePickaxe}"

ItemName.MoltenPickaxe,ShadowPick

ItemName.ChlorophytePickaxe,Torium Sansxe
ItemName.ChlorophyteDrill,Torium Drans


#[ fishing poles ],<<-|------------------------------------------|->>


ItemName.WoodFishingPole,Bad Thyme Para-Catcher
