Key,Translation


#[ mage : staves ],<<-|------------------------------------------|->>


ItemName.WandofSparking,Robot Leg
ItemTooltip.WandofSparking,"'Looks broken, but might be of use'"

ItemName.Vilethorn,Extendo-Clam
ItemTooltip.Vilethorn,"Sansmmons a ""Rocket"" Clam"

ItemName.Flamelash,BurningIceStaff
ItemTooltip.Flamelash,"Sansmmons a controllable block of burning ice
'HOW'"


#[ mage : guns ],<<-|--------------------------------------------|->>


ItemName.SpaceGun,Solar Harvester


#[ melee : boomerangs ],<<-|-------------------------------------|->>


ItemName.WoodenBoomerang,Thyme Leaf Scarf
ItemName.Flamarang,Ragger


#[ melee : spears ],<<-|-----------------------------------------|->>


ItemName.Spear,Lost Spear
ItemName.TheRottedFork,Spear of Patience

ItemName.DayBreak,Bergentrücker
ItemTooltip.DayBreak,"'It'll be like a day at the dentist'"


#[ melee : maces ],<<-|------------------------------------------|->>


ItemName.Mace,Sansce (sans mace)
ItemTooltip.Mace,"'Not to be confused with Sance (sans FENCE)'"

ItemName.FlamingMace,Fell!Sansce
ItemTooltip.FlamingMace,"Lighs enemies ablaze using its evil sansnergies"

ItemName.BallOHurt,Undertoad!Sansce
ItemName.TheMeatball,Bundle o' Bones
ItemName.BlueMoon,Sansce Seraph
ItemName.Sunfury,Lower!Sansce


#[ melee : shortswords ],<<-|------------------------------------|->>


ItemName.CopperShortsword,Gastter Rapier
ItemName.TinShortsword,Gastin Rapier
ItemName.IronShortsword,Iriel Rapier
ItemName.LeadShortsword,Toriad Rapier
ItemName.SilverShortsword,Sansver Rapier
ItemName.TungstenShortsword,Tungsans Rapier
ItemName.GoldShortsword,Papyld Rapier
ItemName.PlatinumShortsword,Papynum Rapier

ItemName.Umbrella,Sansbrella


#[ melee : broadswords ],<<-|------------------------------------|->>


ItemName.WoodenSword,Bad Thyme Swans (sword sans)
ItemName.BorealWoodSword,Dense Thyme Swans (sword sans)
ItemName.EbonwoodSword,Better Cauli Swans (sword sans)
ItemName.CactusSword,Petri-Poker

ItemName.CopperBroadsword,Gastter Broadswans
ItemName.TinBroadsword,Gastin Broadswans
ItemName.IronBroadsword,Iriel Broadswans
ItemName.LeadBroadsword,Toriad Boradswans
ItemName.SilverBroadsword,Sansver Broadswans
ItemName.TungstenBroadsword,Tungsans Broadswans
ItemName.GoldBroadsword,Papyld Boradswyrus
ItemName.PlatinumBroadsword,Papynum Broadswyrus

ItemName.Starfury,Chaos Blade
ItemTooltip.Starfury,"Blazes stars right out of the skans
'Once wielded by a god, now in your hands'"

ItemName.LightsBane,Sans' Bane
ItemName.BloodButcherer,Justicemaker

ItemName.FieryGreatsword,TwistedSword
ItemTooltip.FieryGreatsword,'It's... kind of scary...'

ItemName.Meowmere,Dogsword
ItemName.StarWrath,Chaos Saber
ItemTooltip.StarWrath,"Brings forth a starstorm unlike any other"


#[ melee : yoyos ],<<-|------------------------------------------|->>


ItemName.WoodYoyo,ThEYEme (thyme eye)
ItemName.CorruptYoyo,Dreamy Eye
ItemName.CrimsonYoyo,Eye of the War
ItemName.JungleYoyo,EYEriel
ItemName.Cascade,Sanscade
ItemName.Yelets,Eye of the GOAT


#[ ranged : bows ],<<-|------------------------------------------|->>


ItemName.WoodenBow,Bad Bhyme Bow
ItemName.BorealWoodBow,Dense Thyme Bow
ItemName.EbonwoodBow,Better Cauli Bow

ItemName.CopperBow,Gastter Bow
ItemName.TinBow,Gastin Bow
ItemName.IronBow,Iriel Bow
ItemName.LeadBow,Toriad Bow
ItemName.SilverBow,Sansver Bow
ItemName.TungstenBow,Tungsans Bow
ItemName.GoldBow,Papyld Bow
ItemName.PlatinumBow,Papynum Bow

ItemName.DemonBow,Stache Scorcher

ItemName.MoltenFury,SpiralBow
ItemTooltip.MoltenFury,"Sets Bad Thyme Sansrrows on fire"

ItemName.TendonBow,Funny Bone


#[ ranged : guns ],<<-|------------------------------------------|->>


ItemName.Musket,Bad Bird-Omen
ItemName.TheUndertaker,Sudden Justice
ItemName.Handgun,GUN
ItemName.PhoenixBlaster,SuperGUN

ItemName.Uzi,Suzi
ItemTooltip.Uzi,"'Oh look it's my neighbor'"


#[ ranged : thrown ],<<-|----------------------------------------|->>


ItemName.Shuriken,Sansriken
ItemName.ThrowingKnife,Hateful Knife


#[ ranged : misc. ammo ],<<-|------------------------------------|->>


ItemName.Blowpipe,Petri-Pipe
ItemTooltip.Blowpipe,"Allows the collection of sprouts for sansmmo"
ItemTooltip.Blowgun,"{$ItemTooltip.Blowpipe}"


#[ ranged : no ammo ],<<-|---------------------------------------|->>


ItemName.PainterPaintballGun,"Out!Code Standard Issue Ink Rifle"


#[ summoner : minions ],<<-|-------------------------------------|->>


ItemName.FlinxStaff,Stable Saff (Sans Staff)
ItemTooltip.FlinxStaff,"Sansmmons a stable symmetric Sans to protect you"

ItemName.ImpStaff,CookieStaff
ItemTooltip.ImpStaff,"Sansmmons a round boy to protect you"


#[ summoner : whips ],<<-|---------------------------------------|->>
