Key,Translation
#content,"Any item that goes in an Armor, Accessory or Equipment slot"


# accessories::damage,----------------------------------------------------------

ItemName.DestroyerEmblem,Sanstroyer Emblem
ItemTooltip.DestroyerEmblem,"[c/ff0000:+10% AT]"

ItemName.EyeoftheGolem,Nice of the GOOGI
ItemTooltip.EyeoftheGolem,"[c/ff0000:+10% CRIT]
'Nice as in, the plural of nouse'"


# accessories::mage,------------------------------------------------------------

ItemName.NaturesGift,Bad Eye
ItemTooltip.NaturesGift,"[c/ff0000:-6% TP cost]"


# accessories::melee,-----------------------------------------------------------

ItemName.FeralClaws,Motherly Claws
ItemTooltip.FeralClaws,"[c/ff0000:+12% MLE AT]
[c/00ff00:+MLE Auto swans (swing sans)]"


# accessories::resource gain,---------------------------------------------------

ItemName.BandofRegeneration,HP Ring
ItemTooltip.BandofRegeneration,"[c/00ff7f:HP Regen ↗]"

ItemName.ShinyStone,Assimilation Core
ItemTooltip.ShinyStone,"While standing still: [c/00ff7f:HP Regen ↗↗↗]
'Thats [ B I G   L U I G I ] to you, Mario!'"


# accessories::summoner,--------------------------------------------------------

ItemName.PygmyNecklace,Forsaken Charm
ItemTooltip.PygmyNecklace,"[c/00ff00:+1 SMN]"

ItemName.HerculesBeetle,Drip Snail
ItemTooltip.HerculesBeetle,"[c/ff0000:+15% SMN AT]
[c/ff0000:SMN KB ↗]"


# accessories::tree::ankh shield,-----------------------------------------------

ItemName.Bezoar,Exorcism Cross
ItemName.AdhesiveBandage,Snake Oil
ItemName.MedicatedBandage,Ghost Oil
ItemTooltip.Bezoar,"Prevents you from getting Spook'd"
ItemTooltip.AdhesiveBandage,"Stops Rapid Growth (I swear)"
ItemTooltip.MedicatedBandage,"Prevents Spook'd and Rapid Growth"


# accessories::tree::celestial shell,-------------------------------------------

ItemName.SunStone,Flush Stans (stone sans)
ItemTooltip.SunStone,"Sansproves a bunch of stuff if you make someone blush"


# accessories::tree::pda,-------------------------------------------------------

ItemName.CopperWatch,Gastter Cheap Happy Meal Watch
ItemName.TinWatch,Gastin Cheap Happy Meal Watch
ItemName.SilverWatch,Sansver Expensive Happy Meal Watch
ItemName.TungstenWatch,Tungsans Expensive Happy Meal Watch
ItemName.GoldWatch,Papyld Luxury Happy Meal Rolex
ItemName.PlatinumWatch,Papynum Luxury Happy Meal Rolex
ItemTooltip.CopperWatch,"Thells the thyme"
ItemTooltip.TinWatch,"{$ItemTooltip.CopperWatch}"
ItemTooltip.SilverWatch,"{$ItemTooltip.CopperWatch}"
ItemTooltip.TungstenWatch,"{$ItemTooltip.CopperWatch}"
ItemTooltip.GoldWatch,"{$ItemTooltip.CopperWatch}"
ItemTooltip.PlatinumWatch,"{$ItemTooltip.CopperWatch}"

ItemName.GPS,GPSans
ItemName.Compass,Sanspass
ItemName.DepthMeter,Depth Sanster
ItemTooltip.Compass,"Sansplays sansrizontal posanstion"
ItemTooltip.DepthMeter,"Sansplays depth"

ItemTooltip.CellPhone,"Lets you see eeeeeeverything
{$ItemTooltip.MagicMirror}"

ItemName.GoblinTech,Lnik Tech
ItemTooltip.GoblinTech,"Sansplays sansement spans, AT, and sansluable ore"


# accessories::tree::terraspark,------------------------------------------------

ItemName.AnkletoftheWind,Butterscotch Sansnammon Pie
ItemTooltip.AnkletoftheWind,"[c/ff0000:+10% SPD]
'increases speed by causing you to waft
through the air like a cartoon character'"

ItemName.ObsidianRose,Jack Of Spades
ItemTooltip.ObsidianRose,"[c/00ff00:DMG from Dark'ness ↘]
'I'm... the bad guy!'"


# accessories::unique,----------------------------------------------------------

ItemName.FlowerBoots,Sans Slipper
ItemTooltip.FlowerBoots,"Thymes grow on the sans you walk on
'As in made out of sans. Not to be confused with Sans' Slipper'"


# accessories::wings,-----------------------------------------------------------

ItemName.LeafWings,Artificial Loominal 'Stache
ItemTooltip.LeafWings,"{$CommonItemTooltip.FlightAndSlowfall}
'Artificial enhancements cause this
'stache to be severely powered up'"

ItemName.BeeWings,Flighty Leaf
ItemTooltip.BeeWings,"{$CommonItemTooltip.FlightAndSlowfall}
'I'd say he's hot on our tail!'"

ItemName.ButterflyWings,Flighty Feather
ItemTooltip.ButterflyWings,"{$CommonItemTooltip.FlightAndSlowfall}
'Legends speak of the feather - the most powerful powerup'"

ItemName.BeetleWings,Gooigium Goostache
ItemTooltip.BeetleWings,"{$CommonItemTooltip.FlightAndSlowfall}
'Enhanced to it actually flies
instead of sticking to walls'"

# comment,"Not completely removing this because the idea is neat."
#ItemName.LeafWings,Ruined Cape
#ItemTooltip.LeafWings,"{$CommonItemTooltip.FlightAndSlowfall}
#'It has a faded Delta Rune on it'"


