Key,Translation
# content,"Decorative/functional furniture items + related building blocks and items"

MapObject.Chair,Sair
MapObject.Chandelier,Sansdelier
MapObject.Door,Door (but sans)
MapObject.FloorLamp,Samp
MapObject.Lantern,Sanstern
MapObject.Sink,Sank (sans sink)
MapObject.Table,Sansble
MapObject.Toilet,Dispatch Hatch


# decorative::bamboo,-----------------------------------------------------------

ItemName.BambooBlock,Tooth Stack
ItemName.BambooBlockWall,Tooth Stack Sall
ItemName.BambooPlatform,Tooth Stack Comic
ItemName.BambooWorkbench,Tooth Stack Work Bans (bench sans)

ItemName.LargeBambooBlock,Tooth Array
ItemName.LargeBambooBlockWall,Tooth Array Sall

ItemName.BambooBathtub,Tooth Stack Badtub
ItemName.BambooBed,Tooth Stack Bad
ItemName.BambooBookcase,Tooth Stack Copy-of-UNDERTALEcase
ItemName.BambooCandelabra,Tooth Stack Sansdelabra
ItemName.BambooCandle,Tooth Stack Sansdle
ItemName.BambooChair,Tooth Stack Sair
ItemName.BambooChandelier,Tooth Stack Sansdelier
ItemName.BambooChest,Tooth Stack Chanst (sans chest)
ItemName.BambooClock,Tooth Stack Sock (sans clock)
ItemName.BambooDoor,Tooth Stack Door
ItemName.BambooDresser,Tooth Stack Sansser
ItemName.BambooFence,Tooth Stack Sance (sans fence)
ItemName.BambooLamp,Tooth Stack Samp
ItemName.BambooLantern,Tooth Stack Sanstern
ItemName.BambooPiano,Tooth Stack Pans
ItemName.BambooSink,Tooth Stack Sansk
ItemName.BambooSofa,Tooth Stack Sansfa
ItemName.BambooTable,Tooth Stack Sansble
ItemName.BambooToilet,Tooth Stack Dispatch Hatch


# decorative::boreal wood,------------------------------------------------------

ItemName.BorealWood,Dense Thyme


# decorative::cactus,-----------------------------------------------------------

ItemName.Cactus,Petrified Growth
ItemName.CactusPlatform,Petrified Growth Comic
ItemName.CactusWall,Petrified Growth Sall

ItemName.CactusBathtub,Petrified Growth Badtub
ItemName.CactusBed,Petrified Growth Bad
ItemName.CactusBookcase,Petrified Growth Copy-of-UNDERTALEcase
ItemName.CactusCandelabra,Petrified Growth Sansdelabra
ItemName.CactusCandle,Petrified Growth Sansdle
ItemName.CactusChair,Petrified Growth Sair
ItemName.CactusChandelier,Petrified Growth Sansdelier
ItemName.CactusChest,Petrified Growth Chanst (sans chest)
ItemName.CactusClock,Petrified Growth Sock (sans clock)
ItemName.CactusDoor,Petrified Growth Door
ItemName.CactusDresser,Petrified Growth Sansser
ItemName.CactusLamp,Petrified Growth Samp
ItemName.CactusLantern,Petrified Growth Sanstern
ItemName.CactusPiano,Petrified Growth Pans
ItemName.CactusSink,Petrified Growth Sansk
ItemName.CactusSofa,Petrified Growth Sansfa
ItemName.CactusTable,Petrified Growth Sansble
ItemName.CactusWorkBench,Petrified Growth Work Bans

ItemName.ToiletCactus,Petrified Growth Dispatch Hatch
ItemTooltip.ToiletCactus,"'This one doesn't even have a hole, its just decorative'"


# decorative::ebonwood,---------------------------------------------------------

ItemName.Ebonwood,Better Cauli
ItemName.EbonwoodPlatform,Better Cauli Comic
ItemName.EbonwoodWall,Better Caul Sall

ItemName.EbonwoodBathtub,Better Cauli State-Of-The-Art-High-Tech Badtub
ItemName.EbonwoodBed,Better Cauli Mega Luxury Gargantuan Emperor Size Bad
ItemName.EbonwoodBookcase,Better Cauli Copy-Of-New-Super-Luigi-Ucase
ItemName.EbonwoodCandelabra,Better Cauli Dark Rose Gold Desk Lamp-Style Sansdelabra
ItemName.EbonwoodCandle,Better Cauli Overpriced Flower-Shaped Sansdle
ItemName.EbonwoodChair,Better Cauli Red Velvet Sair (sans chair)
ItemName.EbonwoodChandelier,Better Cauli 16K Karat Diamond-Crested Sansdelier
ItemName.EbonwoodChest,Better Cauli Novelty Lock Chanst (sans chest)
ItemName.EbonwoodClock,Better Cauli Modern Shelf With Digital Sock (sans clock)
ItemName.EbonwoodDoor,Better Cauli Engraved Red-Green Velvet With Gold Pushbar Door
ItemName.EbonwoodDresser,Better Cauli Weirdly Wavy And Impractical Sansser Because That's Fancy Apparently
ItemName.EbonwoodFence,Curtains For The Better Cauli Mega Luxury Gargantuan Emperor Size Bad
ItemName.EbonwoodLamp,"Better Cauli ""This Is Clearly A Sansdle???"" Samp"
ItemName.EbonwoodLantern,"Better Cauli ""Design Based Off An Image From Google Images"" Sanstern"
ItemName.EbonwoodPiano,Better Cauli Open Concept Pans
ItemName.EbonwoodSink,Better Cauli Ultramodern Sank
ItemName.EbonwoodSofa,Better Cauli Diva Lounge Sansfa
ItemName.EbonwoodTable,Better Cauli Expensive Buffet Sansble
ItemName.EbonwoodWorkBench,"Better Cauli ""Better Than Bad Thyme"" Work Bans (bench sans)"
ItemName.ToiletEbonyWood,"Better Cauli Smart Dispatch Hatch"


# decorative::granite,----------------------------------------------------------

ItemName.Granite,Grans


# decorative::honey,------------------------------------------------------------

ItemName.HoneyBlock,Coagulated Battery Acid
ItemName.CrispyHoneyBlock,Gohst Sauce Block
ItemName.HoneyPlatform,Car Exhaust Comic
ItemName.HoneyWorkBench,Automotive Work Bans (bench sans)

ItemName.HoneyBathtub,Automotive Badtub
ItemName.HoneyBed,Automotive Bad
ItemName.HoneyBookcase,Automotive Copy-of-UNDERTALEcase
ItemName.HoneyCandelabra,Automotive Sansdelabra
ItemName.HoneyCandle,Automotive Sansdle
ItemName.HoneyChair,Automotive Sair
ItemName.HoneyChandelier,Automotive Sansdelier
ItemName.HoneyChest,Automotive Chanst (sans chest)
ItemName.HoneyClock,Automotive Sock (sans clock)
ItemName.HoneyDoor,Automotive Door
ItemName.HoneyDresser,Automotive Sansser
ItemName.HoneyLamp,Automotive Samp
ItemName.HoneyLantern,Automotive Sanstern
ItemName.HoneyPiano,Automotive Pans
ItemName.HoneySink,Automotive Sansk
ItemName.HoneySofa,Automotive Sansfa
ItemName.HoneyTable,Automotive Sansble
ItemName.ToiletHoney,Automotive Dispatch Hatch


# decorative::ice,--------------------------------------------------------------

ItemName.IceBlock,Hypersans Block
ItemName.IceEcho,Hypersans Sall


# decorative::lihzahrd,---------------------------------------------------------

# comment,"Statues are in statues::decorative"

ItemName.LihzahrdBrick,Forsaken Cauli
ItemName.LihzahrdBrickWall,Forsaken Caul Sall
ItemName.LihzahrdWorkBench,Forsaken Work Bans (bench sans)
ItemName.LihzahrdPlatform,Forsaken Comic

ItemName.LihzahrdBathtub,Forsaken Badtub
ItemName.LihzahrdBed,Forsaken Operation Sansble
ItemName.LihzahrdBookcase,Forsaken Copy-of-Luigi's Mansioncase
ItemName.LihzahrdCandle,Forsaken Sansdle
ItemName.LihzahrdCandelabra,Forsaken Sansdelabra
ItemName.LihzahrdChair,Forsaken Sair
ItemName.LihzahrdChandelier,Forsaken Sansdelier
ItemName.LihzahrdChest,Forsaken Chanst (sans chest)
ItemName.LihzahrdClock,Forsaken Sock (sans clock)
