Key,Translation
# content,"All music boxes"
# ref,"Name format: '[ <in-game location> ] <song name> - <source|author>'"

ItemName.MusicBoxJungle,"[ Toriel's House ] Home - Undertale"
#( placeholder : night ),Night
ItemName.MusicBoxJungleNight,"[ Toriel's House (Night) ] Home (Music Box) - Undertale"
ItemName.MusicBoxUndergroundJungle,"[ Toriel's House (Sansderground) ] Basement - Submachine: Legacy"
ItemName.MusicBoxTemple,"[ Luigi's Large House ] Red Basement - Submachine: Legacy"

ItemName.MusicBoxBoss4,"[ GOOGI ] Ripple - Deltarune"
ItemName.MusicBoxQueenBee,"[ MOTHERSPAWNER ] An Accent Beyond - Portal 2"
ItemName.MusicBoxPlantera,"[ MOTHERFAKER ] You Can't Escape, You Know - Portal"
