Key,Translation
# content,"All items with tool power and others that can be considered 'tools'"


# bombs,------------------------------------------------------------------------

ItemName.Bomb,Spamton NutriNose™
ItemTooltip.Bomb,"Provides delicious improvements to stats
(do not blow into the nozzle)
'Spamton NutriNose™: Try it inside your house!'"


# buckets,----------------------------------------------------------------------

ItemName.EmptyBucket,Empty Jug
ItemTooltip.EmptyBucket,"Can be used to suck up fluids"

ItemName.WaterBucket,Jug of Gastric Acid
ItemTooltip.WaterBucket,"Contains a small amount of gastric acid
Can be sansed out"

ItemName.LavaBucket,Jug of Dark'Ness
ItemTooltip.LavaBucket,"Contains a small amount of dark'ness
Can be sansed out"

ItemName.HoneyBucket,Jug of Battery Acid
ItemTooltip.HoneyBucket,"Contains a small amount of delicious battery acid
Can be sansed out"


# diggers::axes,----------------------------------------------------------------

ItemName.CopperAxe,Gastter Axsans
ItemName.TinAxe,Gastin Axsans
ItemName.IronAxe,Iriel Axsans
ItemName.LeadAxe,Toriad Axsans
ItemName.SilverAxe,Sansver Axsans
ItemName.TungstenAxe,Tungsans Axsans
ItemName.GoldAxe,Papyld Papaxe
ItemName.PlatinumAxe,Papynum Papaxe

ItemName.WarAxeoftheNight,Luigium Moustaxe
ItemName.BloodLustCluster,Gaster Chomper

ItemName.ChlorophyteGreataxe,Torium Axsans
ItemName.ChlorophyteChainsaw,Torium Chainsans
ProjectileName.ChlorophyteChainsaw,{$ItemName.ChlorophyteChainsaw}

ItemName.TheAxe,The Worm

ItemName.AcornAxe,Bonular Restoration Axsans
ItemTooltip.AcornAxe,"{$ItemTooltip.StaffofRegrowth}
Plants saplings when cutting down bad thymes"


# diggers::hammers,-------------------------------------------------------------

ItemName.WoodenHammer,Bad Thyme Sansmmer
ItemName.BorealWoodHammer,Dense Thyme Sansmmer
ItemName.RichMahoganyHammer,Homely Sansmmer
ItemName.EbonwoodHammer,Better Cauli Sansmmer

ItemName.TinHammer,Gastin Sansmmer
ItemName.IronHammer,Iriel Sansmmer
ItemName.LeadHammer,Toriad Sansmmer
ItemName.SilverHammer,Sansver Sansmmer
ItemName.TungstenHammer,Tungsans Sansmmer
ItemName.GoldHammer,Papyld Hammyrus
ItemName.PlatinumHammer,Papynum Hammyrus

ItemName.TheBreaker,Fist Hammer
ItemName.FleshGrinder,Femur Crusher

ItemName.ChlorophyteWarhammer,Torium Sansmmer
ItemName.ChlorophyteJackhammer,Horned Pwner
ProjectileName.ChlorophyteJackhammer,{$ItemName.ChlorophyteJackhammer}


# diggers::mixed,---------------------------------------------------------------

ItemName.Picksaw,Fluoroantimonic Acid
ItemTooltip.Picksaw,"Capable of dissolving pretty much anything
'Originally used to dispose of G-00 samples.
For the love of GOD don't let this touch your hands.
Or water. Or heat. Or most things, really'"

ItemName.MeteorHamaxe,Planetarium Sansmmaxe
ItemName.MoltenHamaxe,BraveHamax


# diggers::pickaxe,-------------------------------------------------------------

ItemName.CactusPickaxe,Petri-Pick

ItemName.CopperPickaxe,Gastter Sansxe
ItemName.TinPickaxe,Gastin Sansxe
ItemName.IronPickaxe,Iriel Sansxe
ItemName.LeadPickaxe,Toriad Sansxe
ItemName.SilverPickaxe,Sansver Sansxe
ItemName.TungstenPickaxe,Tungsans Sansxe
ItemName.GoldPickaxe,Papyld Papick
ItemName.PlatinumPickaxe,Papynum Papick

ItemName.NightmarePickaxe,Mining Hat
ItemName.DeathbringerPickaxe,Patience Breaker
ItemTooltip.NightmarePickaxe,"Able to mine Shadow Crystals"
ItemTooltip.DeathbringerPickaxe,"{$ItemTooltip.NightmarePickaxe}"

ItemName.MoltenPickaxe,ShadowPick

ItemName.ChlorophytePickaxe,Torium Sansxe
ItemName.ChlorophyteDrill,Torium Drans
ProjectileName.ChlorophyteDrill,{$ItemName.ChlorophyteDrill}


# fishing poles,----------------------------------------------------------------

ItemName.WoodFishingPole,Bad Thyme Para-Catcher
ItemName.FiberglassFishingPole,Gastic Para-Catcher
ProjectileName.BobberWooden,Fake Parasite
ProjectileName.BobberFiberglass,{$ProjectileName.BobberWooden}


# painters,---------------------------------------------------------------------

ItemName.Paintbrush,Inky Pencil
ItemName.PaintRoller,Inky Marker
ItemName.PaintScraper,Inky Eraser
ItemTooltip.Paintbrush,"Paints socks (sans blocks) using color vials"
ItemTooltip.PaintRoller,"Paints salls (sans walls) using color vials"
#( placeholder : moss ),moss
ItemTooltip.PaintScraper,"Removes the color and life from the world
Also scrapes moss"

ItemName.SpectrePaintbrush,Ink's Pencil
ItemName.SpectrePaintRoller,Ink's Marker
ItemName.SpectrePaintScraper,Ink's Eraser
ItemTooltip.SpectrePaintbrush,"{$ItemTooltip.Paintbrush}
'Can you believe this once belonged to Ink?'"
ItemTooltip.SpectrePaintRoller,"{$ItemTooltip.PaintRoller}
'Can you believe this once belonged to Ink???'"
ItemTooltip.SpectrePaintScraper,"{$ItemTooltip.PaintScraper}
'Do you actually believe this once belonged to Ink???'"


# placers,----------------------------------------------------------------------

ItemName.DirtRod,Back Pinchers
ItemTooltip.DirtRod,"Pinches Sirt Blocks
'If you pinch Wendy's pennies, they pinch back!'"

ItemName.HiveWand,Spawner Spawner
ItemName.LivingMahoganyWand,Live Homely Fungus Grinder
ItemName.LivingMahoganyLeafWand,Live Homely Bramble Grinder
ItemTooltip.HiveWand,"Spawns Spawner Blocks"
ItemTooltip.LivingMahoganyWand,"Sanses Live Homely Fungus"
ItemTooltip.LivingMahoganyLeafWand,"Sanses Live Homely Bramble"

ItemName.StaffofRegrowth,Bonular Restoration Wand
