Key,Translation
# content,"All weapons and items whose main purpose is being ammunition"


# mage::guns,-------------------------------------------------------------------

ItemName.SpaceGun,Solar Harvester
ProjectileName.GreenLaser,Solar Beam

ItemName.BeeGun,Ghost Grill
ItemName.WaspGun,Ghost Chicken
ItemTooltip.BeeGun,"Leaks a bunch of gohsts that chase Sanses
'WHY IS ALL THEIR FOOD
FULL OF GHOSTS'"
ItemTooltip.WaspGun,"[c/ff0000:-10 sans DF]
'JOKES ON YOU DUMBASS
THE CHICKEN HAS GHOST TOO'"
ProjectileName.Bee,Gst
ProjectileName.GiantBee,Ghst
ProjectileName.Wasp,Chckn

ItemName.LeafBlower,Finger Gun
ItemName.HeatRay,Pingor Gun
ItemTooltip.LeafBlower,"'POW, HAHA!'"
ItemTooltip.HeatRay,"Shoots an acid stream of goo
'GET REAADY TO00 MOOOO0()#@#O3####'"
ProjectileName.Leaf,Finger Gun
ProjectileName.HeatRay,Pingor Gun


# mage::staves,-----------------------------------------------------------------

ItemName.WandofSparking,Robot Leg
ItemName.StaffofEarth,Broken Vat
ItemTooltip.WandofSparking,"'Looks broken, but might be of use'"
ItemTooltip.StaffofEarth,Sansmmons a powerful ballgi (ball loogi)
ProjectileName.WandOfSparkingSpark,Fabulous Spark
ProjectileName.VilethornBase,"""Rocket"" Clam"
ProjectileName.VilethornTip,"""Rocket"" Clam"
ProjectileName.BoulderStaffOfEarth,Ballgi (ball loogi)

ItemName.Vilethorn,Extendo-Clam
ItemName.NettleBurst,Extendo-Munch
ItemTooltip.Vilethorn,"Sansmmons a ""Rocket"" Clam"
ItemTooltip.NettleBurst,"[c/ff0000:-10 sans DF]"

ItemName.Flamelash,BurningIceStaff
ItemTooltip.Flamelash,"Sansmmons a controllable block of burning ice
'HOW'"
ProjectileName.Flamelash,Burning Ice


# melee::boomerangs,------------------------------------------------------------

ItemName.WoodenBoomerang,Thyme Leaf Scarf
ItemName.ThornChakram,Epsilon
ItemName.Flamarang,Ragger
ItemName.PossessedHatchet,Overall Strap
ItemTooltip.PossessedHatchet,Rapidly flings sans-chasing goo
ProjectileName.WoodenBoomerang,Thyme Leaf Scarf
ProjectileName.ThornChakram,Epsilon
ProjectileName.Flamarang,Ragger
ProjectileName.PossessedHatchet,Overall Strap


# melee::flails,----------------------------------------------------------------


ItemName.GolemFist,Eye of the GOOt
ItemTooltip.GolemFist,"Punches with the force (and flesh) of GOOGI"
ProjectileName.GolemFist,Eye of the GOOt


# melee::maces,-----------------------------------------------------------------

ItemName.Mace,Sansce (sans mace)
ItemName.FlamingMace,Fell!Sansce
ItemName.BallOHurt,Undertoad!Sansce
ItemName.TheMeatball,Bundle o' Bones
ItemName.FlowerPow,V!Sansce
ItemName.BlueMoon,Sansce Seraph
ItemName.Sunfury,Lower!Sansce
ItemTooltip.Mace,"'Not to be confused with Sance (sans FENCE)'"
ItemTooltip.FlamingMace,"Lighs enemies ablaze using its evil sansnergies"
ItemTooltip.FlowerPow,"Shcüts tears at nearby sanses
'Hey, V!Sansce! Michael here'"
ProjectileName.Mace,Sansce
ProjectileName.FlamingMace,Fell!Sansce
ProjectileName.BallOHurt,Undertoad!Sansce
ProjectileName.TheMeatball,Bundle o' Bones
ProjectileName.FlowerPow,V!Sansce
ProjectileName.FlowerPowPetal,V!Sansce
ProjectileName.BlueMoon,Sansce Seraph
ProjectileName.Sunfury,Lower!Sansce


# melee::spears,----------------------------------------------------------------

ItemName.Spear,Lost Spear
ItemName.ChlorophytePartisan,Motherly Spear
ItemName.DayBreak,Bergentrücker
ItemName.TheRottedFork,Spear of Patience
