Key,Translation


#[ announcements ],<<-|------------------------------------------|->>


Announcement.HasArrived,{0} has arrived wether you like it or not!
Announcement.HasAwoken,{0} is here to kick your behind!
Announcement.HasBeenDefeated_Single,{0}'s behind was kicked!
Announcement.HasBeenDefeated_Plural,{0}'s behinds were kicked!

Game.BedObstructed,Your bad is sansbstructed.
Game.BirthdayParty_1,{0} is getting funky!
Game.BirthdayParty_2,{0} and {1} are getting it on!
Game.BirthdayParty_3,"{0}, {1} and {2} are party rockin' in the house tonight!"
Game.InvasionPoints,[c/001111:{0} sans points]
Game.InvasionWave_Type1,"[ {0} ] : {1}"
Game.InvasionWave_Type2,"[ {0} ] : {1} and {2}"
Game.InvasionWave_Type3,"[ {0} ] : {1}, {2} and {3}"
Game.InvasionWave_Type4,"[ {0} ] : {1}, {2}, {3} and {4}"
Game.InvasionWave_Type5,"[ {0} ] : {1}, {2}, {3}, {4} and {5}"
Game.InvasionWave_Type6,"[ {0} ] : {1}, {2}, {3}, {4}, {5} and {6}"
Game.InvasionWave_Type7,"[ {0} ] : {1}, {2}, {3}, {4}, {5}, {6} and {7}"
Game.InvasionWave_Type8,"[ {0} ] : {1}, {2}, {3}, {4}, {5}, {6}, {7} and {8}"

Game.JoinGreeting,Current victims: {0}.

LegacyMisc.1,A Lnik army is approaching from the weast!
LegacyMisc.2,A Lnik army is approaching from the east!
LegacyMisc.3,The Lnik army is here to kick your behind!
LegacyMisc.0,The Lnik army's behind was kicked!

LegacyMisc.8,My Mans (moon sans) is PISSED!
LegacyMisc.9,You feel like you're gonna have a bad time...
LegacyMisc.15,The spirits of dark and darker have become yet darker.


#[ currency ],<<-|-----------------------------------------------|->>


Currency.Copper,Gastter
Currency.Silver,Sansver
Currency.Gold,Papyld
Currency.Platinum,Sans Bux

Currency.DefenderMedals,Luigium Coins


#[ controls ],<<-|-----------------------------------------------|->>


Controls.LeftClick,L-Click
Controls.RightClick,Mouse II


#[ game ],<<-|---------------------------------------------------|->>


Game.DroppedCoins,"Don't lose hope! (But you did lose: {0})"

Game.PlayerDeathTime,{0}'s behind was kicked {1} ago.

Game.RespawnInSuffix,"{0}. Hold yer horses"

Game.SpawnPointRemoved,Sanspoint removed!
Game.SpawnPointSet,Sanspoint set!
Game.TeleportTo,Sansleport to {0}
Game.Time,{0} ST (Sans Time)


#[ ui : game ],<<-|----------------------------------------------|->>


GameUI.Bestiary,Open Sanstiary
GameUI.Cancel,Cansans
GameUI.CompassCenter,Sanster
GameUI.CompassEast,{0} ½m East
GameUI.CompassWest,{0} ½m Weast
GameUI.DPS,{0} sansmage per sanscond


#[ map objects ],<<-|--------------------------------------------|->>


MapObject.Copper,Gastter
MapObject.CrimsonAltar,Wartorn Altar
MapObject.Crimtane,Sansnium
MapObject.DemonAltar,Loogie Altar
MapObject.Demonite,Luigium
MapObject.DesertFossil,Sans Matter
MapObject.Fossil,Sans Matter
MapObject.Gold,Papyld
MapObject.Iron,Iriel
MapObject.Lead,Toriad
MapObject.Platinum,Papynum
MapObject.Silver,Sansver
MapObject.Tin,Gastin
MapObject.Toilet,Dispatch Hatch
