Key,Translation


#[ night ],<<-|--------------------------------------------------|->>


NPCName.DemonEye,Sanson Eye
NPCName.DemonEyeOwl,Sanson Eye
NPCName.DemonEyeSpaceship,Sanson Eye
NPCName.WanderingEye,Mature Sanson Eye

NPCName.BaldZombie,Headless Horseless Horsesans
NPCName.FemaleZombie,Tall!Sans
NPCName.PincushionZombie,Mr. Pokey
NPCName.SlimedZombie,{$NPCName.Zombie}
NPCName.SwampZombie,{$NPCName.Zombie}
NPCName.TwiggyZombie,{$NPCName.Zombie}
NPCName.Zombie,Agressive Sans


#[ surface ],<<-|------------------------------------------------|->>


NPCName.BlueSlime,Slans
NPCName.GreenSlime,Normal Slans
NPCName.PurpleSlime,Standard Slans
NPCName.Pinky,Slansy UwU


#[ sky ],<<-|----------------------------------------------------|->>


NPCName.Harpy,Blaster Rider


#[ underground ],<<-|--------------------------------------------|->>


NPCName.RedSlime,Default Slans
NPCName.YellowSlime,Average Slans
NPCName.BlackSlime,Regular Slans
NPCName.BabySlime,Ninji Slans
NPCName.MotherSlime,Ninja Slans
NPCName.ToxicSludge,Sansbert

NPCName.CaveBat,Sanccoo
NPCName.GiantBat,Twooccoo

NPCName.Skeleton,Lost Sans

NPCName.Piranha,Jape Worm

NPCName.BoundGoblin,Bound Lnik
NPCName.BoundWizard,Bound Sans

NPCName.Skeleton,Fallen Sans

NPCName.Mimic,Sansmic
NPCName.LostGirl,Bound Lnik
NPCName.Nymph,Mimikc

NPCName.GiantWormBody,Live Thyme
NPCName.GiantWormHead,Live Thyme
NPCName.GiantWormTail,Live Thyme


#[ underworld ],<<-|---------------------------------------------|->>


NPCName.LavaSlime,Fell!Slans

NPCName.BoneSerpentBody,Wall Plug
NPCName.BoneSerpentHead,Wall Plug
NPCName.BoneSerpentTail,Wall Plug
NPCName.FireImp,Lancer


#[ snow ],<<-|---------------------------------------------------|->>


NPCName.IceSlime,Snans Slans
NPCName.SnowFlinx,Supersymmetric Sans
NPCName.SpikedIceSlime,Hyperslans


#[ desert ],<<-|-------------------------------------------------|->>


NPCName.SandSlime,Dry Slans


#[ jungle ],<<-|-------------------------------------------------|->>


NPCName.JungleSlime,Moldy Slans
NPCName.JungleBat,Molddoo
NPCName.Snatcher,Hand of Gaster
NPCName.DoctorBones,Husk


#[ corruption ],<<-|---------------------------------------------|->>


NPCName.Clinger,Venus THUNDERRR Trap
NPCName.Corruptor,Superloominal Crawler
NPCName.CorruptSlime,Sloomba

NPCName.DevourerBody,Wiggler
NPCName.DevourerHead,Wiggler
NPCName.DevourerTail,Wiggler

NPCName.SeekerBody,Biggler
NPCName.SeekerHead,Biggler
NPCName.SeekerTail,Biggler

NPCName.EaterofSouls,Loominal Crawler

NPCName.SeekerBody,Angry Wiggler
NPCName.SeekerHead,Angry Wiggler
NPCName.SeekerTail,Angry Wiggler

NPCName.Slimeling,Mini Sloomba
NPCName.Slimer,One-Winged Sloomba
NPCName.Slimer2,{$NPCName.Slimer}


#[ hallow ],<<-|-------------------------------------------------|->>


NPCName.Pixie,Virovirokun


#[ dungeon ],<<-|------------------------------------------------|->>


NPCName.BoundMechanic,Bound Sans
NPCName.DungeonGuardian,Paps.


#[ goblin invasion ],<<-|----------------------------------------|->>


NPCName.GoblinArcher,The Worst Lnik
NPCName.GoblinPeon,Green Lnik
NPCName.GoblinSorcerer,Purple Lnik
NPCName.GoblinThief,Yellow Lnik
NPCName.GoblinWarrior,Red Lnik

NPCName.GoblinSummoner,Warlnik
NPCName.ShadowFlameApparition,Sansnian Apparition


#[ dungeon defenders 2 ],<<-|------------------------------------|->>


NPCName.DD2EterniaCrystal,Brandshroom


#[ misc ],<<-|---------------------------------------------------|->>


NPCName.MeteorHead,Outer!Skull


#[  ],<<-|-------------------------------------------------------|->>
