Key,Translation
# content,"Names, bestiary entries, projectiles and drops of bosses and their servants"
# comment,"Order of entries: NPCs, Bestiary, Summons, Drops"
# commment,"Order of drops: Trophy, Relic, Mask, Boss Bag, Expert Item, Master Item, Normal Drops"


# brain of cthulhu,-------------------------------------------------------------

NPCName.BrainofCthulhu,Sevenbones
NPCName.Creeper,Shrooper

Bestiary_FlavorText.npc_BrainofCthulhu,"Formally called “:bone::bone::bone::bone::bone::bone::bone:”, this amalgamate was fromed from Sixbones merging with a Loogie during a bloody fight. A great amount of hatred emanates from it."
Bestiary_FlavorText.npc_Creeper,"The fused manifestation of a mushroom and a sanson eye. Psychically controlled by Sevenbones as their main method of defense, as the fused Loogie hinders the Sans and Papyrus's magic."

ItemName.BrainOfCthulhuBossBag,Bag of Regret (Sevenbones)
ItemTooltip.BrainOfCthulhuBossBag,"{$CommonItemTooltip.RightClickToOpen}
'⨋↖↖◉∰◍'"

#( placeholder : trophy ),Trophy
#( placeholder : relic ),Sanslic
ItemName.BrainofCthulhuTrophy,Sevenbones Trophy
ItemName.BrainofCthulhuMasterTrophy,Sevenbones Sanslic


# deerclops,--------------------------------------------------------------------

NPCName.Deerclops,Sanstrocity Prime
ProjectileName.DeerclopsIceSpike,Hyperspike
ProjectileName.DeerclopsRangedProjectile,Sansbris

Bestiary_FlavorText.npc_Deerclops,"Hailing from the land of HELP_TALE, the Sanstrocity found familiarity in the Consanstrate. All the added Sanses around it elevated the Sanstrocty to Twitch Prime tier!"

ItemName.DeerThing,Sanscentrator (sans concentrator)
ItemTooltip.DeerThing,"Sansmmons Sanstrocity Prime"

ItemName.DeerclopsBossBag,Bag of Regret (Sanstrocity Prime)
ItemTooltip.DeerclopsBossBag,"{$CommonItemTooltip.RightClickToOpen}
'But something has CHANGED
CHANGED
CHANGED
CHANGED'"

#( placeholder : trophy ),Trophy
#( placeholder : relic ),Sanslic
ItemName.DeerclopsTrophy,Sanstrocity Prime Trophy
ItemName.DeerclopsMasterTrophy,Sanstrocity Prime Sanslic
ItemName.DeerclopsMask,Sanstrocity Prime Sask (sans mask)


# destroyer,--------------------------------------------------------------------

NPCName.Probe,Sansian Core
NPCName.TheDestroyer,Mecha Biggler
NPCName.TheDestroyerBody,Mecha Biggler
NPCName.TheDestroyerTail,Mecha Biggler

Bestiary_FlavorText.npc_TheDestroyer,"A massive mech modelled off a biggler, but partly made of Sansnian technology. Made to seek out non-loogie entities, its many segments open up whenever it finds a target, revealing its many sansnic cores."
Bestiary_FlavorText.npc_Probe,"Counter-intuitively, the many cores of the Mecha Biggler are sansnium-based. They come equipped with powerful sansers (sans lasers) and propulsion sanstems (sans systems), just in case."

ItemTooltip.MechanicalWorm,"Sansmmons the Mecha Biggler"

ItemName.DestroyerBossBag,"Bag of Regret (Mecha Biggler)"
ItemTooltip.DestroyerBossBag,"{$CommonItemTooltip.RightClickToOpen}
'mega booty blasted'"

#( placeholder : trophy ),Trophy
#( placeholder : relic ),Sanslic
ItemName.DestroyerTrophy,Mecha Biggler Trophy
ItemName.DestroyerMasterTrophy,Mecha Biggler Sanslic
ItemName.DestroyerMask,Mecha Biggler Sask (sans mask)


# eater of worlds,--------------------------------------------------------------

NPCName.EaterofWorldsBody,Biggler of Wigglers
NPCName.EaterofWorldsHead,Biggler of Wigglers
NPCName.EaterofWorldsTail,Biggler of Wigglers
NPCName.VileSpitEaterOfWorlds,THUNDERRR

Bestiary_FlavorText.npc_EaterofWorldsHead,"A massive, enraged wiggler, hellbent on finding its lost flower. It will stop at nothing to achieve its goal."

ItemName.EaterOfWorldsBossBag,Bag of Regret (Biggler of Wigglers)
ItemTooltip.EaterOfWorldsBossBag,"{$CommonItemTooltip.RightClickToOpen}
'booty blasted'"

#( placeholder : trophy ),Trophy
#( placeholder : relic ),Sanslic
ItemName.EaterofWorldsTrophy,Biggler of Wigglers Trophy
ItemName.EaterofWorldsMasterTrophy,Biggler of Wigglers Sanslic


# empress of light,-------------------------------------------------------------

NPCName.HallowBoss,Emperor of Sansperor

Bestiary_FlavorText.npc_HallowBoss,"A Sans that has absorbed the power of 7 human SOULs, his new god-like abilities (and height) strike fear on the locals. Not to be confused with Sans Seraphim."

