Key,Translation
# content,"Names, bestiary entries and banners of normal enemies"

MapObject.Banner,Sansnner


# bestiary::common,-------------------------------------------------------------

CommonBestiaryFlavor.DemonEye,"Created by a powerful Sans, these little pranksters are always *looking* for someone to bother. "
CommonBestiaryFlavor.Skeleton,"Sanses that get lost in the Sansverns eventually go insane. Jealous, they attack those who've yet to join their ranks."
CommonBestiaryFlavor.Zombie,"These nocturnal pranksters are here to mess you up! "

CommonBestiaryFlavor.Hornet,"How odd. A ghost, and not a particularly sansular one. "

CommonBestiaryFlavor.GoldCritter,"
(COOL VARIANT: It may be hard to spot, but some critters are cooler than others!)"


# corruption,-------------------------------------------------------------------

NPCName.Clinger,Venus THUNDERRR Trap
NPCName.Corruptor,Superloominal Crawler
NPCName.CorruptSlime,Sloomba
Bestiary_FlavorText.npc_Clinger,"In an incredible - and terrifying - feat of ingenuity, these plant-like creatures are actually heavily modified Loogies. Some of their many new organs can produce the THUNDERRR they spit."
Bestiary_FlavorText.npc_Corruptor,"Loominal Crawlers that have spent ages honing their reality-warping abilites, they have developed incrediple power."
Bestiary_FlavorText.npc_CorruptSlime,"Slanses affected by the luigification process take on far firmer shapes. However, they do maintain their jumpy nature."

NPCName.DevourerBody,Wiggler
NPCName.DevourerHead,Wiggler
NPCName.DevourerTail,Wiggler
Bestiary_FlavorText.npc_DevourerHead,"Worms affected by the Loogies' S'ahns Ritual, they become a familiar centipide-like creature, minus the impressive legs. Or flower. How they're not angry remains a mystery."

NPCName.SeekerBody,Biggler
NPCName.SeekerHead,Biggler
NPCName.SeekerTail,Biggler
Bestiary_FlavorText.npc_SeekerHead,"The wigglers' enraged counterparts, they hit twice as hard! (Probably more than that, I didn't check)"

NPCName.EaterofSouls,Loominal Crawler
Bestiary_FlavorText.npc_EaterofSouls,"Hailing from the Dream Realm, Loogies have a tighter grasp on the fabric of reality than most. These ones have managed to ""crawl"" along it, using their tendril-like 'stache hairs."

NPCName.Slimeling,Mini Sloomba
NPCName.Slimer,One-Winged Sloomba
NPCName.Slimer2,{$NPCName.Slimer}
Bestiary_FlavorText.npc_Slimeling,"HA HA HA! IT WAS A BIG GOOMBER ALL ALONG LUIGI!!!"
Bestiary_FlavorText.npc_Slimer,"Fitted with wing (singular) by the Loogies. It now seeks any ally of the Sanses to stomp down in a fit of revenge."

ItemName.CorruptSlimeBanner,Sloomba Sansnner
ItemName.SlimerBanner,One-Wingled Sloomba Sansnner
ItemName.ClingerBanner,Venus Thunder Trap Sansnner
ItemName.CorruptorBanner,Superloominal Crawler Sansnner
ItemName.EaterofSoulsBanner,Loominal Crawler Sansnner
ItemName.DevourerBanner,Wiggler Sansnner
ItemName.WorldFeederBanner,Biggler Sansnner
ItemTooltip.CorruptSlimeBanner,"{$CommonItemTooltip.BannerBonus}Sloombas"
ItemTooltip.SlimerBanner,"{$CommonItemTooltip.BannerBonus}One-Winged Sloombas"
ItemTooltip.ClingerBanner,"{$CommonItemTooltip.BannerBonus}Venus THUNDERRR Traps"
ItemTooltip.CorruptorBanner,"{$CommonItemTooltip.BannerBonus}Superloominal Crawlers"
ItemTooltip.DevourerBanner,"{$CommonItemTooltip.BannerBonus}Wigglers"
ItemTooltip.WorldFeederBanner,"{$CommonItemTooltip.BannerBonus}Bigglers"
ItemTooltip.EaterofSoulsBanner,"{$CommonItemTooltip.BannerBonus}Loominal Crawlers"


# crossover::dungeon defenders 2,-----------------------------------------------

NPCName.DD2EterniaCrystal,Brandshroom


# desert,-----------------------------------------------------------------------

NPCName.SandSlime,Dry Sans


# dungeon,----------------------------------------------------------------------

NPCName.DungeonGuardian,Paps.
Bestiary_FlavorText.npc_DungeonGuardian,"Don't mess with paps."

# events::goblin invasion,------------------------------------------------------

NPCName.GoblinArcher,The Worst Lnik
NPCName.GoblinPeon,Green Lnik
NPCName.GoblinSorcerer,Purple Lnik
NPCName.GoblinThief,Yellow Lnik
NPCName.GoblinWarrior,Red Lnik
Bestiary_FlavorText.npc_GoblinArcher,"These Lniks were literally appointed by Satan himself to be an absolute pain in the neck. (This bestiary is not biased.)"
Bestiary_FlavorText.npc_GoblinPeon,"The classic Lniks! Not only are their sprites not hue-shifted, but they're the reason the Lniks allied with the Loogies in the first place! (they're both green)"
Bestiary_FlavorText.npc_GoblinSorcerer,"These Lniks were only appointed by Satan's secretary. They are inside your walls, will shoot at you, miss, and hit your Sanses instead!"
Bestiary_FlavorText.npc_GoblinThief,"Watch out, this Lnik has a sword and shield. Just wait until he figures out how to take them out!"
Bestiary_FlavorText.npc_GoblinWarrior,"Unlike Yellow Lniks, these know how to use swords and shields, they just prefer fisticuffs."
ProjectileName.WoodenArrowHostile,Bad Thyme Sansrrow

NPCName.GoblinSummoner,Warlnik
NPCName.ShadowFlameApparition,Sansnian Apparition
Bestiary_FlavorText.npc_GoblinSummoner,"Lniks who learn the dark, darker, yet darker arts of Sansmmoning get to become Warlniks, the most powerful members of their army."
Bestiary_FlavorText.npc_ShadowFlameApparition,"The pinnacle of a Warlnik's power: the merging of sansnian and lnikular energies!"

ItemName.GoblinArcherBanner,The Worst Lnik Sansnner
ItemName.GoblinPeonBanner,Green Lnik Sansnner
ItemName.GoblinSorcererBanner,Purple Lnik Sansnner
ItemName.GoblinSummonerBanner,Warlniks Sansnner
ItemName.GoblinThiefBanner,Yellow Lnik Sansnner
ItemName.GoblinWarriorBanner,Red Lnik Sansnner
ItemTooltip.GoblinArcherBanner,"{$CommonItemTooltip.BannerBonus}The Worst Lniks"
ItemTooltip.GoblinPeonBanner,"{$CommonItemTooltip.BannerBonus}Green Lniks"
ItemTooltip.GoblinSorcererBanner,"{$CommonItemTooltip.BannerBonus}Purple Lniks"
ItemTooltip.GoblinSummonerBanner,"{$CommonItemTooltip.BannerBonus}Warlniks"
ItemTooltip.GoblinThiefBanner,"{$CommonItemTooltip.BannerBonus}Yellow Lniks"
ItemTooltip.GoblinWarriorBanner,"{$CommonItemTooltip.BannerBonus}Red Lniks"


# hallow,-----------------------------------------------------------------------

NPCName.Pixie,Virovirokun
Bestiary_FlavorText.npc_Pixie,"As sick as this fella is, you probably shouldn't get too close, or else you'll also get sick!"

ItemName.PixieBanner,Virovirokun Sansnner
ItemTooltip.PixieBanner,"{$CommonItemTooltip.BannerBonus}Virovirokuns"

# jungle,-----------------------------------------------------------------------

NPCName.JungleSlime,Moldy Slans
NPCName.JungleBat,Molddoo
NPCName.Snatcher,Hand of Gaster
NPCName.DoctorBones,Husk
Bestiary_FlavorText.npc_JungleSlime,"Slanses in Toriel's House end up absorbing the mold that grows on the wallpaper, hence why they're this shade of green. Yucky!"
Bestiary_FlavorText.npc_JungleBat,"Drawn by what they though were the love of their lives, these sanccoos have found their home in Toriel's House. Exposure to the walpaper mold, however, has had some nasty effects on the poor things."
Bestiary_FlavorText.npc_Snatcher,"If your name is Toriel, you better watch out: Gaster is in your walls and will extend his many hands out! I think they're trying to say something..."
Bestiary_FlavorText.npc_DoctorBones,"The husk of a Toriel, devoid of its SOUL. Usually lost SOULs form a good chunk of the ores you've been mining, but for the husk to be still walking around? (and in Toriel's House, no less!) All I'm saying is: Something's a-sus..."

NPCName.Derpling,Jumpler
NPCName.GiantTortoise,Handy Loogi
NPCName.GiantFlyingFox,Stage 7 Molddoo
NPCName.AnglerFish,Worm from the String
Bestiary_FlavorText.npc_Derpling,"These guys may be wacky, but they're formidable foes. Just be thankful they don't know how to tie their shoes; then they'd be truly unstoppable!"
Bestiary_FlavorText.npc_GiantTortoise,"Loogie survey drones sent to look for something in Toriel's House. Just what are they planning to do down there?"
Bestiary_FlavorText.npc_GiantFlyingFox,"Molddoos that have spent a long time in Toriel's House, empowered by the darker, yet darker energies. This form truly is Terminal."
Bestiary_FlavorText.npc_AnglerFish,"What a pathetic, miserable excuse of a living being. You might as well just put it out of its misery."

ItemName.JungleBatBanner,Molddoo Sansnner
ItemName.SnatcherBanner,Hand of Gaster Sansnner
ItemName.DoctorBonesBanner,Husk Sansnner
ItemName.DerplingBanner,Jumpler Sansnner
ItemName.TortoiseBanner,Handy Loogi Sansnner
ItemName.GiantFlyingFoxBanner,Stage 7 Molddoo Sansnner
ItemName.AnglerFishBanner,Worm from the String Sansnner
ItemTooltip.JungleBatBanner,"{$CommonItemTooltip.BannerBonus}Molddoos"
ItemTooltip.SnatcherBanner,"{$CommonItemTooltip.BannerBonus}Hands of Gaster"
ItemTooltip.DoctorBonesBanner,"{$CommonItemTooltip.BannerBonus}Husks"
ItemTooltip.DerplingBanner,"{$CommonItemTooltip.BannerBonus}Jumplers"
ItemTooltip.TortoiseBanner,"{$CommonItemTooltip.BannerBonus}Handy Loogies"
ItemTooltip.GiantFlyingFoxBanner,"{$CommonItemTooltip.BannerBonus}Stage 7 Molddoos"
ItemTooltip.AnglerFishBanner,"{$CommonItemTooltip.BannerBonus}Worms from the String"


# jungle::temple,---------------------------------------------------------------

NPCName.Lihzahrd,Dr. Loogie
NPCName.LihzahrdCrawler,Dr. Loogie
NPCName.FlyingSnake,Goominal Crawler
Bestiary_FlavorText.npc_Lihzahrd,"An experiment gone wrong! These sciency loogies have been studying ghostly substances and have now paid the price: becoming one with █████!"
Bestiary_FlavorText.npc_FlyingSnake,"At first glance you'd think these shapely abominations are mimicking a Loominal Crawler's ability to ""crawl"" through the fabric of reality, but they're actually just sticking to the walls."

ItemName.JungleSlimeBanner,Moldy Slans Sansnner
ItemTooltip.JungleSlimeBanner,"{$CommonItemTooltip.BannerBonus}Moldy Slanses"

ItemName.LihzahrdBanner,Dr. Loogie Sansnner
ItemName.FlyingSnakeBanner,Goominal Crawler Sansnner
ItemTooltip.LihzahrdBanner,"{$CommonItemTooltip.BannerBonus}Dr. Loogies"
ItemTooltip.FlyingSnakeBanner,"{$CommonItemTooltip.BannerBonus}Goominal Crawlers"


# jungle::underground,----------------------------------------------------------

NPCName.Hornet,Gohst
NPCName.HornetFatty,Boxy Gohst
NPCName.HornetHoney,Motherly Gohst
NPCName.HornetLeafy,Sansy Gohst
NPCName.HornetSpikey,Spinny Gohst
NPCName.HornetStingy,Bitey Gohst
NPCName.MossHornet,Bo
NPCName.Bee,Ghst
NPCName.BeeSmall,Gst
Bestiary_FlavorText.npc_Hornet,"{$CommonBestiaryFlavor.Hornet}Who could be creating these?"
Bestiary_FlavorText.npc_HornetFatty,"{$CommonBestiaryFlavor.Hornet}Someone told this Gohst to ""be there or be square."""
Bestiary_FlavorText.npc_HornetHoney,"{$CommonBestiaryFlavor.Hornet}This one resembles a Toriel, but there's no sign of a Mold infection. How strange."
Bestiary_FlavorText.npc_HornetLeafy,"How odd. A ghost, and not a particularly sansu-- Wait this one's pretty sansular actually. Nevermind!"
Bestiary_FlavorText.npc_HornetSpikey,"Speen."
Bestiary_FlavorText.npc_HornetStingy,"{$CommonBestiaryFlavor.Hornet}These ones seem to have a particular appetite for human (and monster) flesh."
Bestiary_FlavorText.npc_MossHornet,"A luigified Gohst. It appears these are escaped prototypes, as the luigification is clearly incomplete. But escaped from where?"
Bestiary_FlavorText.npc_Bee,"This is like a Gohst, if it was smaller."
Bestiary_FlavorText.npc_BeeSmall,"This is like a Ghst, if it was smaller."
ProjectileName.Stinger,Gohst Ball
ProjectileName.JungleSpike,Gohst Ball

NPCName.ManEater,Other Hand of Gaster
NPCName.AngryTrapper,Fist of Gaster
NPCName.SpikedJungleSlime,Spooky Slans
NPCName.JungleCreeper,Landliner
NPCName.JungleCreeperWall,Landliner
NPCName.Arapaima,Deathcan
NPCName.Moth,Hammer
Bestiary_FlavorText.npc_ManEater,"Did you know that Gaster is left-handed? Well me neither, but that seems to be the case - his many left hands are way stronger than his right ones!"
Bestiary_FlavorText.npc_AngryTrapper,"Not being able to grab much is making Gaster pissed, he is now engaging in fisticuffs!"
Bestiary_FlavorText.npc_SpikedJungleSlime,"Wallpaper Mold and battery acid seem to have a scary reaction together. This Moldy Slans found out first-hand, and is here to share the spooks with you!"
Bestiary_FlavorText.npc_JungleCreeperWall,"The Darker, Yet Darker energies have caused some of the furniture in Toriel's House to spring to life! They say that if you pull the strings on these, it makes them ring."
Bestiary_FlavorText.npc_Arapaima,"Contrary to popular belief, these are not sentient trashcans. A thorny creature has just made said trashcan its home!"
Bestiary_FlavorText.npc_Moth,"How rare, a ghost that's not a Gohst! Judging by the origin of this species, it seems the Loogies have been trying to replicate the effects of gohsts by using other kinds of spectres."

NPCName.LacBeetle,Perseverant Bones
