Key,Translation


#[ location ],<<-|-----------------------------------------------|->>


RandomWorldName_Location.Abode,Sans
RandomWorldName_Location.Abyss,Sans
RandomWorldName_Location.Acres,Sans
RandomWorldName_Location.Afterworld,Sans
RandomWorldName_Location.Alcove,Sans
RandomWorldName_Location.Alley,Sans
RandomWorldName_Location.Apogee,Sans
RandomWorldName_Location.Arbor,Sans
RandomWorldName_Location.Archipelago,Sans
RandomWorldName_Location.Area,Sans
RandomWorldName_Location.Arena,Sans
RandomWorldName_Location.Armpit,Sans
RandomWorldName_Location.Artwork,Sans
RandomWorldName_Location.Asylum,Sans
RandomWorldName_Location.Backcountry,Sans
RandomWorldName_Location.Backwater,Sans
RandomWorldName_Location.Backwoods,Sans
RandomWorldName_Location.Badlands,Sans
RandomWorldName_Location.Bank,Sans
RandomWorldName_Location.Barleycorn,Sans
RandomWorldName_Location.Barren,Sans
RandomWorldName_Location.Base,Sans
RandomWorldName_Location.Basin,Sans
RandomWorldName_Location.Bastion,Sans
RandomWorldName_Location.Bay,Sans
RandomWorldName_Location.Bayou,Sans
RandomWorldName_Location.Beach,Sans
RandomWorldName_Location.Bed,Sans
RandomWorldName_Location.Bedrock,Sans
RandomWorldName_Location.Beyond,Sans
RandomWorldName_Location.Biosphere,Sans
RandomWorldName_Location.Bluff,Sans
RandomWorldName_Location.Bog,Sans
RandomWorldName_Location.Boondocks,Sans
RandomWorldName_Location.Boonies,Sans
RandomWorldName_Location.Border,Sans
RandomWorldName_Location.Bottoms,Sans
RandomWorldName_Location.Boundary,Sans
RandomWorldName_Location.Breach,Sans
RandomWorldName_Location.Brewery,Sans
RandomWorldName_Location.Brook,Sans
RandomWorldName_Location.Bubble,Sans
RandomWorldName_Location.Bunker,Sans
RandomWorldName_Location.Burrow,Sans
RandomWorldName_Location.Bush,Sans
RandomWorldName_Location.Butte,Sans
RandomWorldName_Location.Camp,Sans
RandomWorldName_Location.Canal,Sans
RandomWorldName_Location.Canopy,Sans
RandomWorldName_Location.Canvas,Sans
RandomWorldName_Location.Canyon,Sans
RandomWorldName_Location.Cape,Sans
RandomWorldName_Location.Center,Sans
RandomWorldName_Location.Chaparral,Sans
RandomWorldName_Location.Chasm,Sans
RandomWorldName_Location.Citadel,Sans
RandomWorldName_Location.City,Sans
RandomWorldName_Location.Clearing,Sans
RandomWorldName_Location.Climax,Sans
RandomWorldName_Location.Cloudland,Sans
RandomWorldName_Location.Coast,Sans
RandomWorldName_Location.Colony,Sans
RandomWorldName_Location.Commune,Sans
RandomWorldName_Location.Confluence,Sans
RandomWorldName_Location.Continent,Sans
RandomWorldName_Location.Convention,Sans
RandomWorldName_Location.Core,Sans
RandomWorldName_Location.Cosmos,Sans
RandomWorldName_Location.Country,Sans
RandomWorldName_Location.County,Sans
RandomWorldName_Location.Court,Sans
RandomWorldName_Location.Courtyard,Sans
RandomWorldName_Location.Cove,Sans
RandomWorldName_Location.Crater,Sans
RandomWorldName_Location.Creek,Sans
RandomWorldName_Location.Crest,Sans
RandomWorldName_Location.Crick,Sans
RandomWorldName_Location.Crossing,Sans
RandomWorldName_Location.Crossroads,Sans
RandomWorldName_Location.Crown,Sans
