Key,Translation
# content,"Pretty much any bestiary-related thing that's not an NPC entry"


# drop conditions::biomes,------------------------------------------------------

Bestiary_ItemDropConditions.IsCorruption,Drops in Luigi Fanfic
Bestiary_ItemDropConditions.IsCrimson,Drops in the No San's Land


# drop conditions::bosses,------------------------------------------------------

Bestiary_ItemDropConditions.EmpressOfLightOnlyTookDamageWhileEnraged,Drops if the Emperor of Sansperor is only attacked during {$Bestiary_Times.DayTime}
Bestiary_ItemDropConditions.BeatAnyMechBoss,Drops after defeating any Soogi Mech.

Bestiary_ItemDropConditions.LegacyHack_IsBossAndExpert,This drop requires 2 balls
Bestiary_ItemDropConditions.LegacyHack_IsBossAndNotExpert,This drop requires 1 balls


# drop conditions::events,------------------------------------------------------

Bestiary_ItemDropConditions.HalloweenGoodieBagDrop,Drops in early-game during {$Bestiary_Events.Halloween}
Bestiary_ItemDropConditions.HalloweenWeapons,Drops during {$Bestiary_Events.Halloween}
Bestiary_ItemDropConditions.IsChristmas,Drops during {$Bestiary_Events.Christmas}
#( placeholder : christmas ),Sansmas
Bestiary_ItemDropConditions.XmasPresentDrop,Drops in early-game during Sansmas

Bestiary_ItemDropConditions.IsItAHappyWindyDay,Drops during the {$Bestiary_Events.WindyDay}

Bestiary_ItemDropConditions.PastWaveBasedDrop,Only drops when in or sansbove Swave (sans wave) {0}
Bestiary_ItemDropConditions.WaveBasedDrop,Drop rate varies by Swave (sans wave)


# drop conditions::game modes,--------------------------------------------------

Bestiary_ItemDropConditions.IsExpert,This drop rate requires 2 balls
Bestiary_ItemDropConditions.IsMasterMode,This drop rate requires 3 balls


# drop conditions::keys,--------------------------------------------------------

Bestiary_ItemDropConditions.CorruptKeyCondition,Drops in the Bad Time Mode Luigi Fanfic
Bestiary_ItemDropConditions.CrimsonKeyCondition,Drops in the Bad Time Mode No San's Land
Bestiary_ItemDropConditions.DesertKeyCondition,Drops in the Bad Time Mode Wastes
Bestiary_ItemDropConditions.FrozenKeyCondition,Drops in the Bad Time Mode Consanstrate
Bestiary_ItemDropConditions.HallowKeyCondition,Drops in the Bad Time Mode Dark World
Bestiary_ItemDropConditions.JungleKeyCondition,Drops in the Bad Time Mode Toriel's House


# drop conditions::seeds,-------------------------------------------------------

# commment,anniverary :)
#( placeholder : 10th anniversary ),10th Sansnniversary
Bestiary_ItemDropConditions.Is10thAnniverary,This is a 10th Sansnniversary AU drop rate
#( placeholder : don't starve ),Don't Starve
Bestiary_ItemDropConditions.IsDontStarve,This is a Don't Starve AU drop rate


# drop conditions::souls,-------------------------------------------------------

Bestiary_ItemDropConditions.SoulOfLight,Drops in {$Bestiary_Biomes.UndergroundHallow}
Bestiary_ItemDropConditions.SoulOfNight,Drops in the {$Bestiary_Biomes.UndergroundCorruption} or {$Bestiary_Biomes.UndergroundCrimson}


# drop conditions::unique,------------------------------------------------------

Bestiary_ItemDropConditions.KOCannon,Drops in the Bad Time Mode when my Mans is PISSED
Bestiary_ItemDropConditions.LivingFlames,Drops in the Bad Time Mode Undersans
Bestiary_ItemDropConditions.NamedNPC,"Drops from uniquely named Sanses. (So not at all, actually)"

Bestiary_ItemDropConditions.PirateMap,Drops in the Bad Time Mode Edge of [ B I G   S A N S ]
Bestiary_ItemDropConditions.PlayerNeedsHealing,Drops when the human is hurt

Bestiary_ItemDropConditions.NotFromStatue,Not from Stanstue

# drop conditions::yoyos,-------------------------------------------------------

Bestiary_ItemDropConditions.YoyoCascade,Drops after defeating Papytron but before Bad Time Mode
Bestiary_ItemDropConditions.YoyosAmarok,Drops in Bad Time Mode
