Key,Translation


#comment,"I'm uncluding all unused texts, sprites, etc."
#comment,"But I also need to change them, hence why these are here."


Bestiary_Biomes.Hallow,                              |> >>=/=>   UNUSED   <=/=<< <|
Bestiary_ItemDropConditions.IsCorruptionAndNotExpert,|> >>=/=>   UNUSED   <=/=<< <|
Bestiary_ItemDropConditions.IsCrimsonAndNotExpert,   |> >>=/=>   UNUSED   <=/=<< <|
Bestiary_ItemDropConditions.NotExpert,               |> >>=/=>   UNUSED   <=/=<< <|
Bestiary_ItemDropConditions.NotMasterMode,           |> >>=/=>   UNUSED   <=/=<< <|

Game.RespawnInPrefix,|> >>=/=>   UNUSED   <=/=<< <|
LegacyMisc.100,      |> >>=/=>   UNUSED   <=/=<< <|

ItemName.CorruptionKeyMold,   |> >>=/=>   UNUSED   <=/=<< <|
ItemName.CrimsonKeyMold,      |> >>=/=>   UNUSED   <=/=<< <|
ItemName.FrozenKeyMold,       |> >>=/=>   UNUSED   <=/=<< <|
ItemName.JungleKeyMold,       |> >>=/=>   UNUSED   <=/=<< <|
ItemName.HallowedKeyMold,     |> >>=/=>   UNUSED   <=/=<< <|
ItemTooltip.CorruptionKeyMold,|> >>=/=>   UNUSED   <=/=<< <|
ItemTooltip.CrimsonKeyMold,   |> >>=/=>   UNUSED   <=/=<< <|
ItemTooltip.FrozenKeyMold,    |> >>=/=>   UNUSED   <=/=<< <|
ItemTooltip.HallowedKeyMold,  |> >>=/=>   UNUSED   <=/=<< <|
ItemTooltip.JungleKeyMold,    |> >>=/=>   UNUSED   <=/=<< <|
